Paragraph ID,Sentence Index,English Sentence,Chinese Sentence
chap1_para1010,1,,图4-16　局部感知真空吸尘器世界问题的第一层与或搜索树，Suck是解序列中的第一个动作
chap1_para1011,1,,与标准搜索算法应用于无传感器问题的情况一样，与或搜索算法将信念状态看作和任何其他问题状态一样的黑盒。
chap1_para1011,2,,可以通过检查先前生成的信念状态——它们是当前状态的子集或超集——来改进这一点，就像求解无传感器问题一样。
chap1_para1011,3,,同样可以推导出与无传感器问题中描述的那些算法类似的增量搜索算法。
chap1_para1011,4,,与黑盒方法相比，它们提供了显著的加速。
chap1_para1012,1,,4.4.4　部分可观测环境中的智能体
chap1_para1013,1,,部分可观测环境中的智能体先对问题形式化，接着调用搜索算法（例如And-Or-Search）求解，然后执行解步骤。
chap1_para1013,2,,这种智能体和完全可观测确定性环境中的智能体之间有两个主要区别。
chap1_para1013,3,,首先，问题的解将是一个条件规划而不是一个序列；为了执行if-then-else表达式，智能体需要测试if语句中的条件并执行正确的条件分支。
chap1_para1013,4,,其次，智能体需要在执行动作和接收感知时维护其信念状态。
chap1_para1013,5,,这一过程类似于式（4-5）中的预测-观测-更新过程，但更加简单，因为感知是由环境给出的，而不是由智能体自己计算的。
chap1_para1013,6,,给定初始信念状态b、动作a、感知o，则新的信念状态为
chap1_para1015,1,,考虑一个类幼儿园真空吸尘器世界，智能体只能感知当前方格的状态，任一方格在任一时刻都有可能变脏，除非智能体恰好在那一时刻主动清理该方格。
chap1_para1015,2,,[7]图4-17为此环境中所维护的信念状态。
chap1_para1017,1,,[7]　向那些不熟悉幼儿对环境影响的人表示歉意。
chap1_para1018,1,,在部分可观测环境中——涵盖绝大多数真实世界环境——维护自身的信念状态是任何智能系统的核心功能。
chap1_para1018,2,,这一功能有很多不同的名称，包括监视（monitoring）、过滤（filtering）和状态评估（state estimation）。
chap1_para1018,3,,式（4-6）称为递归状态评估器，因为它根据前一状态计算新的信念状态，而不是检查整个感知序列。
chap1_para1018,4,,如果智能体不想“落后”，计算速度必须和感知进入的速度一样快。
chap1_para1018,5,,随着环境越来越复杂，智能体将只有时间计算近似信念状态，它可能重点关注感知对当前感兴趣的环境方面的影响。
chap1_para1018,6,,关于这一问题的大部分工作都是用概率论的工具处理随机的连续状态的环境，详见第14章。
chap1_para1019,1,,图4-17　在局部感知的类幼儿园真空吸尘器世界中，信念状态维护的两个预测-更新周期
chap1_para102,1,"Description The blocks are rectangular, pyramidal, and square in shape.",● 当其他人可能不支持时，我们应该怎么做？
chap1_para102,2,A thin-walled transparent box with its top open is shown.,
chap1_para102,3,The largest rectangular and pyramidal blocks are kept inside the transparent box.,
chap1_para102,4,"A small square block, two blocks of similar sizes, and a rectangular block that is slightly larger than the two square blocks are kept outside the transparent box.",
chap1_para102,5,A pyramidal block is kept on the small square block and another pyramidal block is kept on one of the two similar-sized blocks.,
chap1_para1020,1,,在本节中，我们将展示一个离散环境中的实例，其传感器是确定性的，动作是非确定性的。
chap1_para1020,2,,这个实例中涉及的机器人具有特定的状态评估任务，该任务称为定位（localization）：即在给定世界地图和一系列感知及行动的情况下，找到自己的位置。
chap1_para1020,3,,机器人放置在图4-18所示的迷宫环境中。
chap1_para1020,4,,它配备了4个声呐传感器，可以判断在4个罗盘方向上是否存在障碍物——外墙或者图中的深色阴影方格。
chap1_para1020,5,,感知以位向量的形式出现，每一位依次代表北、东、南、西方向，所以1011表示北、南、西方向有障碍物。
chap1_para1021,1,,图4-18　机器人的可能位置，⊙，（a）一次观测E1 = 1011后。
chap1_para1021,2,,（b）移动一个方格并进行第二次观测E2 = 1010后。
chap1_para1021,3,,如果传感器没有噪声且转移模型是准确的，那么只有一个可能位置与这两个观测序列一致
chap1_para1022,1,,我们假设传感器所提供的数据完全正确，而且机器人拥有正确的环境地图。
chap1_para1022,2,,但遗憾的是，机器人的导航系统发生故障，所以当它执行Right动作时，会随机移动到一个相邻方格。
chap1_para1022,3,,机器人的任务是确定它的当前位置。
chap1_para1023,1,,假设机器人刚刚启动，并不知道自己的位置——那么它的初始信念状态b为包含所有位置的集合。
chap1_para1023,2,,接着机器人接收到感知1011，并使用公式bo = Update(1011)进行更新，得到如图4-18a所示的4个位置。
chap1_para1023,3,,查看整个迷宫你会发现这是仅有的4个可以产生感知1011的位置。
chap1_para1024,1,,接下来，机器人执行Right动作，但结果是非确定性的。
chap1_para1024,2,,"新的信念状态，ba = Predict(bo, Right)，包含了与bo中的位置相邻的所有位置。"
chap1_para1024,3,,"当接收到第二个感知1010时，机器人执行Update(ba, 1010)，此时信念状态已经只剩图4-18b所示的一个位置。"
chap1_para1024,4,,这是下式得到的唯一位置：
chap1_para1025,1,,对于非确定性动作，Predict阶段信念状态增加，但是Update阶段信念状态又减少回去——只要感知提供了有用的识别信息。
chap1_para1025,2,,有时感知对定位帮助不大：如果存在一个或多个很长的东西向走廊，那么机器人可能会接收到一个很长的1010感知序列，但它永远不会知道它在走廊的哪一位置。
chap1_para1025,3,,但对于地理上存在合理差异的环境，定位往往会迅速收敛到单个点，即使动作是非确定性的。
chap1_para1026,1,,如果传感器发生故障怎么办？
chap1_para1026,2,,如果我们只能用布尔逻辑进行推理，那么我们就无法判断每个传感器位的正误，相当于没有任何感知信息。
chap1_para1026,3,,但我们将看到，概率推理（第12章）允许我们从故障传感器中提取有用信息，只要它出错的时间不超过一半。
chap1_para1027,1,,4.5　在线搜索智能体和未知环境
chap1_para1028,1,,到目前为止，我们主要关注使用离线搜索（offline search）算法的智能体。
chap1_para1028,2,,它们在执行第一个动作之前就已经计算出一个完整的解。
chap1_para1028,3,,相比之下，在线搜索（online search）[8]智能体则交替进行计算和动作：它首先执行一个动作，然后观测环境并计算下一个动作。
chap1_para1028,4,,在线搜索适用于动态或半动态环境，因为在这些环境中停止不动或计算时间太长都要付出代价。
chap1_para1028,5,,在线搜索在非确定性领域也很有用，因为它允许智能体将计算精力集中在实际发生的偶然事件上，而不是那些也许会发生但很可能不会发生的事件。
chap1_para103,1,Figure 1.,● 当收益可能在很遥远的未来时，我们应该怎么做？
chap1_para103,2,"2A crude comparison of a leading supercomputer, Summit (Feldman, 2017); a typical personal computer of 2019; and the human brain.",
chap1_para103,3,"Human brain power has not changed much in thousands of years, whereas supercomputers have improved from megaFLOPs in the 1960s to gigaFLOPs in the 1980s, teraFLOPs in the 1990s, petaFLOPs in 2008, and exaFLOPs in 2018 (1 exaFLOP = 1018 floating point operations per second).",
chap1_para1030,1,,[8]　这里的“在线”指的是必须在接收到输入时立即进行处理的算法，而不是等待整个输入数据集都可用时再进行处理。
chap1_para1030,2,,“在线”的这种用法与“因特网连接”的概念无关。
chap1_para1031,1,,当然，这里需要权衡：智能体提前规划得越多，发现自己陷入困境的频率越低。
chap1_para1031,2,,在未知环境中，智能体不清楚存在什么状态或者动作会产生什么结果，必须使用自身的动作作为实验来了解环境。
chap1_para1032,1,,在线搜索的一个典型实例是地图构建问题（mapping problem）：机器人放置在一个未知建筑中，它必须进行探索以绘制一个从A到B的地图。
chap1_para1032,2,,逃离迷宫的方法——有抱负的古代英雄所需的知识——也是在线搜索算法的实例。
chap1_para1032,3,,然而，空间探索并不是在线探索的唯一形式。
chap1_para1032,4,,以一个新生儿为例：它可能可以做许多举动，却不知道这些动作的后果，而且它只体验过少数几个它能达到的可能状态。
chap1_para1033,1,,4.5.1　在线搜索问题
chap1_para1034,1,,求解在线搜索问题需要交替进行计算、感知和动作。
chap1_para1034,2,,我们首先假设环境是确定性的和完全可观测的（第17章放宽了这些假设），并规定智能体只知道以下内容。
chap1_para1035,1,,● Actions(s)，状态s下的合法动作。
chap1_para1036,1,,"● c(s, a, s')，在状态s下执行动作a到达状态s'的代价。"
chap1_para1036,2,,注意，前提是智能体知道s'是结果。
chap1_para1037,1,,● Is-Goal(s)，目标测试。
chap1_para1038,1,,"特别要注意的是，智能体不能确定Result(s, a)的值，除非它确实在s中执行了a。"
chap1_para1038,2,,"例如，在图4-19所示的迷宫问题中，智能体并不知道从(1, 1)执行Up动作会到达(1, 2)；也不知道再执行Down动作会回到(1, 1)。"
chap1_para1038,3,,在某些应用中可以减少这种无知——例如，机器人探测器可能知道它是如何移动的，只是不知道障碍物的位置。
chap1_para1039,1,,最后，智能体可能可以访问一个可容许的启发式函数h(s)，该函数对从当前状态到目标状态的距离进行估计。
chap1_para1039,2,,例如，在图4-19中，智能体可能知道目标的位置，从而可以使用曼哈顿距离启发式函数（3.6节）。
chap1_para104,1,1.,经济学起源于1776年，当时亚当·斯密（Adam Smith，1723—1790）发表了《国富论》（全名为《国民财富的性质和原因的研究》，An Inquiry into the Nature and Causes of the Weallth of Nations）。
chap1_para104,2,2.,斯密建议将经济视为由许多关注自身利益的独立主体组成，但他并不主张将金融贪婪作为道德立场。
chap1_para104,3,5Psychology,"他在较早的著作《道德情操论》（The Theory of Moral Sentiments）（Smith, 1759）开篇就指出，对他人福祉的关注是每个个体利益的重要组成部分。"
chap1_para1040,1,,图4-19　一个简单的迷宫问题。
chap1_para1040,2,,智能体必须从S出发到达G，但它对环境一无所知
chap1_para1041,1,,通常，智能体的目标是以最小代价到达目标状态。
chap1_para1041,2,,（另一个可能目标是简单地探索整个环境。
chap1_para1041,3,,）代价是智能体在移动过程中产生的总的路径代价。
chap1_para1041,4,,通常将它与智能体事先知道搜索空间时所产生的路径代价（即已知环境中的最优路径）进行比较。
chap1_para1041,5,,在在线算法的术语中，这种比较被称为竞争比（competitive ratio），我们希望它尽可能地小。
chap1_para1042,1,,在线探索器很容易陷入死胡同（dead-end）：无法到达任何目标状态的状态。
chap1_para1042,2,,如果智能体不知道每个动作的后果，它可能会“跳进陷阱”，因此永远无法到达目标。
chap1_para1042,3,,一般来说，没有一种算法能在所有状态空间中都避免进入死胡同。
chap1_para1042,4,,以图4-20a中的两个死胡同状态空间为例。
chap1_para1042,5,,对已经访问过状态S和A的在线搜索算法来说，它无法分辨自己是处于顶部的状态还是底部的状态；根据智能体观测到的感知信息，这两个状态看起来是相同的。
chap1_para1042,6,,因此，它不可能知道如何在两个状态空间中选择正确的动作。
chap1_para1042,7,,这是一个对手论证（adversary argument）的实例——想象对手在智能体探索状态空间时构建状态空间，并将目标和死胡同放在它所选择的任何地方，如图4-20b所示。
chap1_para1043,1,,图4-20　（a）两个可能将在线搜索智能体引入死胡同的状态空间。
chap1_para1043,2,,任何给定智能体都会在至少一个空间中失败。
chap1_para1043,3,,（b）二维环境实例，将导致在线搜索智能体沿着一条任意低效的路线到达目标。
chap1_para1043,4,,无论智能体做出何种选择，对手都会用另一堵很长很薄的墙来阻挡这条路线，这样智能体所走的路径就会比最优可能路径长得多
chap1_para1044,1,,死胡同是机器人探索中的一个真正的难点——楼梯、斜坡、悬崖、单行道甚至自然地形中都存在从它出发某些动作不可逆（irreversible）的状态——没有办法回到之前的状态。
chap1_para1044,2,,我们提出的探索算法只保证在可安全探索（safely explorable）的状态空间中是有效的，也就是说，从每个可达状态出发都存在可以到达的目标状态。
chap1_para1044,3,,所有动作都可逆的状态空间，如迷宫和8数码，显然是可安全探索的（如果它们有解的话）。
chap1_para1044,4,,我们将在22.3.2节中更深入地讨论安全探索的话题。
chap1_para1045,1,,即使在可安全探索的环境中，如果存在代价无界的路径，也不能保证竞争比有界。
chap1_para1045,2,,在动作不可逆的环境中，很容易发现上述结论，但事实上，可逆情况下也是如此，如图4-20b所示。
chap1_para1045,3,,因此，通常会根据整个状态空间的大小来描述在线搜索算法的性能，而不是仅仅根据最浅层目标的深度。
chap1_para1046,1,,4.5.2　在线搜索智能体
chap1_para1047,1,,可观测环境中的在线智能体在每个动作之后都会接收到一个感知，告诉它目前到达了哪一状态，通过这些信息，智能体可以更新它的环境地图。
chap1_para1047,2,,更新后的地图将用于规划下一步。
chap1_para1047,3,,规划和动作交替进行意味着在线搜索算法与之前介绍的离线搜索算法有很大不同：离线算法探索其状态空间模型，而在线算法探索真实世界。
chap1_para1047,4,,例如，A*可以在空间的某部分扩展一个节点，然后马上在空间的另一相距很远的部分扩展另一个节点，因为节点扩展设计的是模拟动作而非真实动作。
chap1_para1048,1,,另外，在线算法只能找到其实际占据的状态的后继。
chap1_para1048,2,,为了避免长途跋涉到一个相距较远的状态来扩展下一个节点，按照局部顺序扩展节点似乎更好。
chap1_para1048,3,,深度优先搜索恰好具有这一性质，因为（如果算法不用回溯）下一个扩展节点是前一个扩展节点的子节点。
chap1_para1049,1,,图4-21为在线深度优先探索智能体（动作是确定性但未知的）。
chap1_para1049,2,,"智能体将它的地图存储在一个result[s, a]表中，记录了在状态s下执行动作a所产生的状态。"
chap1_para1049,3,,"（对于非确定性动作，智能体可以在results[s, a]中记录状态集合。"
chap1_para1049,4,,）只要当前状态存在未探索过的动作，智能体就会尝试其中一个动作。
chap1_para1049,5,,当智能体尝试完某个状态下的所有动作时，问题就来了。
chap1_para1049,6,,在离线深度优先搜索中，我们只是将状态从队列中删除；而在线搜索中，智能体必须在物理世界中回溯。
chap1_para1049,7,,在深度优先搜索中，这意味着回溯到智能体进入当前状态前的最近状态。
chap1_para1049,8,,为了实现这一点，算法需要维护另一个表，表中列出了每个状态尚未回溯到的前驱状态。
chap1_para1049,9,,如果智能体已经没有可回溯的状态，那么搜索就完成了。
chap1_para105,1,•How do humans and animals think and act?,"大多数人认为经济学就是关于钱的，而实际上第一个对不确定性下的决策进行数学分析的是安托万·阿尔诺（Arnauld, 1662）的最大期望值公式，而这一分析也的确是与赌注的货币价值相关。"
chap1_para105,2,,"丹尼尔·伯努利（Bernoulli, 1738）注意到，这个公式似乎不适用于更大规模的金钱，例如对海上贸易远征的投资。"
chap1_para105,3,,于是，他提出了基于期望效用最大化的原则，并指出额外货币的边际效用会随着一个人获得更多货币而减少，从而解释了大众的投资选择。
chap1_para1050,1,,图4-21　使用深度优先探索的在线搜索智能体。
chap1_para1050,2,,智能体只有在每个动作都可以被其他动作“撤消”的状态空间中才能安全地探索
chap1_para1051,1,,我们建议读者在求解图4-19中的迷宫问题时跟踪Online-DFS-Agent的进度。
chap1_para1051,2,,很容易看到，最坏情况下，智能体最终恰好要遍历状态空间中的每个连接两次。
chap1_para1051,3,,对探索来说，这是最优的；但是，对寻找目标来说，如果在初始状态旁边恰好有一个目标状态，智能体的竞争比将变得无限差。
chap1_para1051,4,,在线迭代加深算法可以解决这一问题；对于均衡树环境，这样一个智能体的竞争比是一个很小的常数。
chap1_para1052,1,,由于其回溯方法，Online-DFS-Agent只在动作可逆的状态空间中有效。
chap1_para1052,2,,在一般的状态空间中，有一些更复杂的算法，但是这类算法的竞争比都不是有界的。
chap1_para1053,1,,4.5.3　在线局部搜索
chap1_para1054,1,,与深度优先搜索一样，爬山搜索在节点扩展上也有局部性。
chap1_para1054,2,,事实上，因为爬山搜索在内存中只保存一个当前状态，它已经是在线搜索算法！
chap1_para1054,3,,遗憾的是，基础算法并不适用于探索，因为智能体会陷入局部极大值而无路可走。
chap1_para1054,4,,此外，不能使用随机重启，因为智能体无法将自己瞬移到一个新的初始状态。
chap1_para1055,1,,相比于随机重启，我们可以考虑使用随机游走（random walk）来探索环境。
chap1_para1055,2,,随机游走只是从当前状态中随机选择一个可用动作，可以优先考虑尚未尝试的动作。
chap1_para1055,3,,容易证明，当空间有限且可安全探索时，随机游走最终会找到一个目标或完成探索。
chap1_para1055,4,,[9]但是，这一过程可能非常慢。
chap1_para1055,5,,图4-22为一个环境实例，在这个环境中，随机游走将耗费指数级的步骤来寻找目标，因为对于第一行除S之外的每个状态，后退的可能性是前进的两倍。
chap1_para1055,6,,当然，这个例子是人为设计的，但是真实世界中许多状态空间的拓扑结构都会导致这类随机游走“陷阱”。
chap1_para1057,1,,[9]　随机游走在无限的一维和二维网格上是完备的。
chap1_para1057,2,,"在三维网格上，游走返回起点的概率只有大约0.3405（Hughes, 1995）。"
chap1_para1058,1,,图4-22　环境实例，随机游走需要耗费指数级的步骤来寻找目标
chap1_para1059,1,,事实证明，增加爬山法的内存而非随机性是一种更有效的方法。
chap1_para1059,2,,基本思想是，存储从已访问的每个状态出发到达目标所需代价的“当前最佳估计”H(s)。
chap1_para1059,3,,H(s)开始时只是启发式估计，然后根据智能体在状态空间中获得的经验不断更新。
chap1_para106,1,"The origins of scientific psychology are usually traced to the work of the German physicist Hermann von Helmholtz (1821–1894) and his student Wilhelm Wundt (1832–1920). Helmholtz applied the scientific method to the study of human vision, and his Handbook of Physiological Optics has been described as “the single most important treatise on the physics and physiology of human vision” (Nalwa, 1993, p.15). In 1879, Wundt opened the first laboratory of experimental psychology, at the University of Leipzig. Wundt insisted on carefully controlled experiments in which his workers would perform a perceptual or associative task while introspecting on their thought processes. The careful controls went a long way toward making psychology a science, but the subjective nature of the data made it unlikely that experimenters would ever disconfirm their own theories.",里昂·瓦尔拉斯（Léon Walras，1834—1910）为效用理论提供了一个更为普适的基础，即对任何结果（不仅仅是货币结果）的投机偏好。
chap1_para106,2,,"弗兰克·拉姆齐（Frank Ramsey）（Ramsey, 1931）以及后来约翰·冯·诺伊曼（John von Neumann）和奥斯卡·摩根斯特恩（Oskar Morgenstern）在他们的著作《博弈论与经济行为》（The Theory of Games and Economic Behavior）（Neumann and Morgenstern, 1944）中对这一理论进一步改进。"
chap1_para106,3,,经济学不再是研究金钱的学科，而是对欲望和偏好的研究。
chap1_para1060,1,,图4-23为一维状态空间中的一个简单示例。
chap1_para1060,2,,在图4-23a中，智能体似乎陷入了位于红色状态的局部极小值。
chap1_para1060,3,,智能体不应该停留在原地，而应该根据其邻居节点的当前代价估计值选择到达目标的最优路径。
chap1_para1060,4,,"经由邻居节点s'到达目标的估计代价等于到达s'的代价加上从s'到达目标的估计代价，即c(s, a, s') + H(s')。"
chap1_para1060,5,,在这个示例中，有2个动作，估计代价分别为向左1 + 9，向右1 + 2，因此最好向右移动。
chap1_para1061,1,,在图4-23b中，显然，将图4-23a中红色状态的代价估计为2是过于乐观的。
chap1_para1061,2,,因为最佳移动的代价为1，而且其结果状态离目标状态至少还有2步，所以红色状态离目标一定至少还有3步，所以应该相应地更新红色状态的H，如图4-23b所示。
chap1_para1061,3,,继续上述过程，智能体将再来回移动两次，每次都会更新H并“拉平”局部极小值，直到它逃逸到右侧。
chap1_para1062,1,,能够实现上述方案的智能体称为实时学习A*（learning real-time A*，LRTA*）智能体，如图4-24所示。
chap1_para1062,2,,同Online-DFS-Agent一样，它用result表构建环境地图。
chap1_para1062,3,,它首先更新刚刚离开的状态的代价估计值，然后根据当前的代价估计值选择“显然最佳”移动。
chap1_para1062,4,,一个重要的细节是，在状态s下尚未尝试的动作总是被假定为以最少的可能代价，即h(s)直接到达目标。
chap1_para1062,5,,这种不确定性下的乐观主义（optimism under uncertainty）鼓励智能体去探索新的、可能更有希望的路径。
chap1_para1063,1,,图4-23　一维状态空间上LRTA*的5次迭代。
chap1_para1063,2,,每个状态都标有H(s)，即到达目标的当前代价估计值，每个连接的动作代价为1。
chap1_para1063,3,,红色状态表示智能体的位置，每次迭代所更新的代价估计值以双圈标记
chap1_para1064,1,,图4-24　LRTA*-Agent根据相邻状态的值选择动作，智能体在状态空间中移动时更新状态值
chap1_para1065,1,,LRTA* 智能体保证在任何有限的、可安全探索的环境中都能找到目标。
chap1_para1065,2,,然而，不同于A*，LRTA*在无限状态空间中是不完备的——在某些情况下，它可能被无限地引入歧途。
chap1_para1065,3,,在最坏情况下，探索状态数为n的环境可能需要O(n2)步，但通常情况下会比这种情况好得多。
chap1_para1065,4,,LRTA* 智能体只是一个庞大的在线智能体家族中的一员，可以通过以不同方式指定动作选择规则和更新规则来定义。
chap1_para1065,5,,我们将在第22章中详细讨论这一发源于随机环境的在线智能体家族。
chap1_para1066,1,,4.5.4　在线搜索中的学习
chap1_para1067,1,,在线搜索智能体初始时对环境的无知为我们提供了一些学习的机会。
chap1_para1067,2,,首先，智能体通过记录它们的每一次经验来学习环境“地图”——更准确地说，学习每种状态下每个动作的结果。
chap1_para1067,3,,其次，当智能体以正确的方式探索状态空间时，局部搜索智能体可以利用局部更新规则获得每个状态代价更准确的估计值。
chap1_para1067,4,,一旦知道代价的准确值，只需移动到代价最低的后继状态就能实现最优决策，也就是说，纯粹的爬山法就是一个最优策略。
chap1_para1068,1,,如果按照我们的建议在图4-19的环境中跟踪Online-DFS-Agent的行为，你会注意到智能体不是非常聪明。
chap1_para1068,2,,"例如，在它已经知道Up动作能够从(1, 1)到达(1, 2)后，它仍然不知道Down动作能回到(1, 1)，或者Up动作还能从(2, 1)到(2, 2)，从(2, 2)到(2, 3)，等等。"
chap1_para1068,3,,一般来说，我们希望智能体能够学到，Up在不遇到墙的情况下使得y坐标值增加，Down则使得y坐标值降低，等等。
chap1_para1069,1,,要实现这一点，我们需要做两件事。
chap1_para1069,2,,首先，需要对这类一般规则有一个形式的、可显式操纵的表示；到目前为止，信息都被隐藏在名为Result函数的黑盒中。
chap1_para1069,3,,第8～11章将专门讨论这个问题。
chap1_para1069,4,,其次，需要能够根据智能体所得到的具体观测信息构造合适的一般规则的算法。
chap1_para1069,5,,这些内容将在第19章中讨论。
chap1_para107,1,"Biologists studying animal behavior, on the other hand, lacked introspective data and developed an objective methodology, as described by H. S. Jennings (1906) in his influential work Behavior of the Lower Organisms. Applying this viewpoint to humans, the behaviorism movement, led by John Watson (1878–1958), rejected any theory involving mental processes on the grounds that introspection could not provide reliable evidence. Behaviorists insisted on studying only objective measures of the percepts (or stimulus) given to an animal and its resulting actions (or response). Behaviorism discovered a lot about rats and pigeons but had less success at understanding humans.",决策论（decision theory）结合了概率论和效用理论，为在不确定性下做出个体决策（经济的或其他的）提供了一个形式化完整的框架，也就是说，概率适当地描述了决策者所处的环境。
chap1_para107,2,,这适用于“大型”经济体，在这种经济体中，每个主体都无须关注其他独立主体的行为。
chap1_para107,3,,对“小型”经济体而言更像是一场博弈（game）：一个参与者的行为可以显著影响另一个参与者的效用（积极或消极的）。
chap1_para107,4,,"冯·诺依曼和摩根斯特恩对博弈论（game theory）的发展［也可以参考（Luce and Raiffa, 1957）］得出了令人惊讶的结果，即对于某些博弈，理性智能体应该采用随机（或至少看起来是随机）的策略。"
chap1_para107,5,,与决策论不同，博弈论并没有为行为的选择提供明确的指示。
chap1_para107,6,,人工智能中涉及多个智能体的决策将在多智能体系统（multiagent system）的主题下探讨（第18章）。
chap1_para1070,1,,如果我们预计将来会被要求求解多个类似问题，那么投入时间（和内存）使得这些未来搜索更容易是有意义的。
chap1_para1070,2,,有几种方法可以做到这一点，它们都属于增量搜索（incremental search）的范畴。
chap1_para1070,3,,我们可以将搜索树保留在内存中，并复用在新问题中未发生改变的部分。
chap1_para1070,4,,我们可以保留启发式代价函数h的值，并在获得新信息时更新它们——要么是因为世界发生改变，要么是因为我们计算出了更好的估计值。
chap1_para1070,5,,或者我们可以保留最优路径的g值，用它们拼凑出一个新的解，并在世界发生改变时对它们进行更新。
chap1_para1072,1,,本章讨论了部分可观测的、非确定性的、未知的和连续的环境中问题的搜索算法。
chap1_para1073,1,,● 局部搜索算法，如爬山法，在内存中只保留少量状态。
chap1_para1073,2,,这些方法已被应用于优化问题，其思想是找到一个高分值的状态，而不考虑进入该状态的路径。
chap1_para1073,3,,研究人员已经开发了一些随机局部搜索算法，包括模拟退火，当给定适当的冷却方案时它能返回最优解。
chap1_para1074,1,,● 许多局部搜索方法同样适用于连续空间中的问题。
chap1_para1074,2,,线性规划和凸优化问题服从状态空间形状和目标函数性质上的某些限制，并且允许多项式时间算法，这些算法在实践中往往非常高效。
chap1_para1074,3,,对于一些数学上合式的问题，我们可以使用微积分找到梯度为零的最大值；对于其他问题，我们必须使用经验梯度，即测量两个邻近点间的适应度差值。
chap1_para1075,1,,● 进化算法是一种维护状态种群的随机爬山搜索。
chap1_para1075,2,,通过突变和杂交（结合状态对）产生新状态。
chap1_para1076,1,,● 在非确定性环境中，智能体可以应用与或搜索算法生成应变规划，无论执行过程中出现何种结果，它都能实现目标。
chap1_para1077,1,,● 如果环境是部分可观测的，信念状态表示智能体可能位于的可能状态的集合。
