实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
John Locke,PERSON,1,,,"Novum Organum
,
4
is characterized by a dictum of John Locke (1632–1704): “Nothing is in the understanding, wh"
David Hume’s,PERSON,1,,,"nderstanding, which was not first in the senses.”
David Hume’s (1711–1776)
A Treatise of Human Nature
(Hume, 173"
A Treatise of Human Nature,ORG,1,,,"ot first in the senses.”
David Hume’s (1711–1776)
A Treatise of Human Nature
(Hume, 1739) proposed what is now known as the pr"
Ludwig Wittgenstein,ORG,1,,,"Building on the work of Ludwig Wittgenstein (1889–1951) and Bertrand Russell (1872–1970), the"
Bertrand Russell,PERSON,2,,,"n the work of Ludwig Wittgenstein (1889–1951) and Bertrand Russell (1872–1970), the famous Vienna Circle (Sigmund, 2"
Vienna Circle,ORG,1,,,"951) and Bertrand Russell (1872–1970), the famous Vienna Circle (Sigmund, 2017), a group of philosophers and math"
Vienna,GPE,1,,,"oup of philosophers and mathematicians meeting in Vienna in the 1920s and 1930s, developed the doctrine of"
Rudolf Carnap,PERSON,1,,,"The
confirmation theory
of Rudolf Carnap (1891–1970) and Carl Hempel (1905–1997) attempted"
Carl Hempel,PERSON,1,,,"firmation theory
of Rudolf Carnap (1891–1970) and Carl Hempel (1905–1997) attempted to analyze the acquisition "
Carnap,ORG,1,,," to observations that confirm or disconfirm them. Carnap’s book
The Logical Structure of the World
(1928) "
The Logical Structure of the World,WORK_OF_ART,1,,,"ns that confirm or disconfirm them. Carnap’s book
The Logical Structure of the World
(1928) was perhaps the first theory of mind as a "
De Motu Animalium,PERSON,1,,,"Aristotle argued (in
De Motu Animalium
) that actions are justified by a logical connect"
Nicomachean Ethics,ORG,1,,,"In the
Nicomachean Ethics
(Book III. 3, 1112b), Aristotle further elaborate"
Antoine Arnauld,ORG,1,,," must still be taken. How then should one decide? Antoine Arnauld (1662), analyzing the notion of rational decision"
Daniel Bernoulli,PERSON,2,,,"he expected monetary value of the outcome. Later, Daniel Bernoulli (1738) introduced the more general notion of
util"
Jeremy Bentham,PERSON,1,,,t consider the interests of multiple individuals. Jeremy Bentham (1823) and John Stuart Mill (1863) promoted the i
John Stuart Mill,PERSON,1,,,"f multiple individuals. Jeremy Bentham (1823) and John Stuart Mill (1863) promoted the idea of
utilitarianism
: that"
Immanuel Kant,PERSON,1,,,"In contrast, Immanuel Kant, in 1785, proposed a theory of rule-based or
deon"
n’t,GPE,2,,,"al laws that govern allowable actions, such as “don’t lie” or “don’t kill.” Thus, a utilitarian could t"
Mill,PERSON,1,,," bound not to, because lying is inherently wrong. Mill acknowledged the value of rules, but understood t"
Greece,GPE,1,,,"can be traced back to the philosophers of ancient Greece, India, and China, but its mathematical developme"
India,GPE,2,,,"raced back to the philosophers of ancient Greece, India, and China, but its mathematical development real"
China,GPE,2,,,"to the philosophers of ancient Greece, India, and China, but its mathematical development really began wi"
George Boole,PERSON,1,,,"matical development really began with the work of George Boole (1815–1864), who worked out the details of propos"
Boole,GPE,1,,," the details of propositional, or Boolean, logic (Boole, 1847). In 1879, Gottlob Frege (1848–1925) extend"
Gottlob Frege,PERSON,1,,,"tional, or Boolean, logic (Boole, 1847). In 1879, Gottlob Frege (1848–1925) extended Boole’s logic to include obj"
Boole,ORG,1,,,"847). In 1879, Gottlob Frege (1848–1925) extended Boole’s logic to include objects and relations, creatin"
Gödel,ORG,1,,,"research, first-order logic motivated the work of Gödel and Turing that underpinned computation itself, a"
Gerolamo Cardano,PERSON,1,,,"ation—a consideration of great importance for AI. Gerolamo Cardano (1501–1576) first framed the idea of probability,"
Pierre Fermat,PERSON,1,,,"n 1654, Blaise Pascal (1623–1662), in a letter to Pierre Fermat (1601–1665), showed how to predict the future of "
Jacob Bernoulli,PERSON,1,,,"h uncertain measurements and incomplete theories. Jacob Bernoulli (1654–1705, uncle of Daniel), Pierre Laplace (174"
Daniel,PERSON,1,,,"te theories. Jacob Bernoulli (1654–1705, uncle of Daniel), Pierre Laplace (1749–1827), and others advanced"
Pierre Laplace,PERSON,1,,,"es. Jacob Bernoulli (1654–1705, uncle of Daniel), Pierre Laplace (1749–1827), and others advanced the theory and i"
Thomas Bayes,PERSON,1,,,he theory and introduced new statistical methods. Thomas Bayes (1702–1761) proposed a rule for updating probabil
Bayes,ORG,1,,,ating probabilities in the light of new evidence; Bayes’ rule is a crucial tool for AI systems.
John Graunt’s,PERSON,1,,,"
statistics
as a field. One of the first uses was John Graunt’s analysis of London
census data in 1662. Ronald Fi"
London,GPE,1,,,"e of the first uses was John Graunt’s analysis of London
census data in 1662. Ronald Fisher is considered "
Ronald Fisher,PERSON,1,,," Graunt’s analysis of London
census data in 1662. Ronald Fisher is considered the first modern statistician (Fish"
Fisher,GPE,1,,,"sher is considered the first modern statistician (Fisher, 1922). He brought together the ideas of probabil"
Ross,PERSON,1,,,"f the calculator was more than his annual salary (Ross, 2012)."
Euclid’s,ORG,1,,,"t the first nontrivial
algorithm
is thought to be Euclid’s algorithm for computing greatest common divisors."
Muhammad,PERSON,1,,,"st common divisors. The word
algorithm
comes from Muhammad ibn Musa al-Khwarizmi, a 9th century mathematicia"
Kurt Gӧdel,PERSON,1,,,Kurt Gӧdel (1906–1978) showed that there exists an effective
Frege,ORG,1,,,"ve any true statement in the first-order logic of Frege and Russell, but that first-order logic could not"
Russell,PERSON,6,,,"e statement in the first-order logic of Frege and Russell, but that first-order logic could not capture the"
Gӧdel,PERSON,1,,,"ded to characterize the natural numbers. In 1931, Gӧdel showed that limits on deduction do exist. His
inc"
Peano,ORG,1,,,"rem
showed that in any formal theory as strong as Peano arithmetic (the elementary theory of natural numb"
Church,ORG,1,,, of being computed by an effective procedure. The Church–Turing thesis proposes to identify the general no
Cobham,ORG,1,,,"complexity was first emphasized in the mid-1960s (Cobham, 1964; Edmonds, 1965). It is important because ex"
Edmonds,PERSON,1,,," first emphasized in the mid-1960s (Cobham, 1964; Edmonds, 1965). It is important because exponential growt"
NP,ORG,12,,,"The theory of
NP-completeness
, pioneered by Cook (1971) and Karp "
Cook,PERSON,1,,,"The theory of
NP-completeness
, pioneered by Cook (1971) and Karp (1972), provides a basis for anal"
Karp,PERSON,3,,,"of
NP-completeness
, pioneered by Cook (1971) and Karp (1972), provides a basis for analyzing the tracta"
Adam Smith,PERSON,1,,,"The science of economics originated in 1776, when Adam Smith (1723–1790) published
An Inquiry into the Nature "
An Inquiry,WORK_OF_ART,1,,,"ed in 1776, when Adam Smith (1723–1790) published
An Inquiry into the Nature and Causes of the Wealth of Natio"
Smith,PERSON,4,,,Smith proposed to analyze economies as consisting of ma
The Theory of Moral Sentiments,WORK_OF_ART,1,,,"reed as a moral position: his earlier (1759) book
The Theory of Moral Sentiments
begins by pointing out that concern for the well-"
Arnauld,PERSON,1,,,"ncertainty, the maximum-expected-value formula of Arnauld (1662), dealt with the monetary value of bets. Da"
Léon Walras,PERSON,1,,,Léon Walras (pronounced “Valrasse”) (1834–1910) gave utility 
Ramsey,PERSON,1,,,st monetary outcomes). The theory was improved by Ramsey (1931) and later by John von Neumann and Oskar Mo
John von Neumann,PERSON,2,,,"theory was improved by Ramsey (1931) and later by John von Neumann and Oskar Morgenstern in their book
The Theory of"
Oskar Morgenstern,PERSON,1,,,"y Ramsey (1931) and later by John von Neumann and Oskar Morgenstern in their book
The Theory of Games and Economic Be"
The Theory of Games and Economic Behavior,WORK_OF_ART,1,,,"n von Neumann and Oskar Morgenstern in their book
The Theory of Games and Economic Behavior
(1944). Economics is no longer the study of money"
Von Neumann,PERSON,1,,,"ity of another (either positively or negatively). Von Neumann and Morgenstern’s development of
game theory
(see"
Morgenstern’s,ORG,1,,,"either positively or negatively). Von Neumann and Morgenstern’s development of
game theory
(see also Luce and Rai"
Luce,PRODUCT,1,,,"orgenstern’s development of
game theory
(see also Luce and Raiffa, 1957) included the surprising result "
Raiffa,PERSON,1,,,"n’s development of
game theory
(see also Luce and Raiffa, 1957) included the surprising result that, for s"
World War II,EVENT,2,,,"e field of
operations research
, which emerged in World War II from efforts in Britain to optimize radar install"
Britain,GPE,4,,,"h
, which emerged in World War II from efforts in Britain to optimize radar installations, and later found "
Richard Bellman,PERSON,2,,,nd innumerable civilian applications. The work of Richard Bellman (1957) formalized a class of sequential decision 
Markov,PERSON,5,,,"ed a class of sequential decision problems called
Markov decision processes
, which we study in
Chapter 16"
the Nobel Prize,WORK_OF_ART,2,,,ering AI researcher Herbert Simon (1916–2001) won the Nobel Prize in economics in 1978 for his early work showing t
Paul Broca’s,PERSON,1,,,Paul Broca’s (1824–1880) investigation of aphasia (speech defi
aphasia,ORG,1,,,Paul Broca’s (1824–1880) investigation of aphasia (speech deficit) in brain-damaged patients in 186
Broca’s,ORG,1,,, localized area in the left hemisphere—now called Broca’s area—that is responsible for speech production.
Camillo Golgi,ORG,1,,,"ells, or
neurons
, but it was not until 1873 that Camillo Golgi (1843–1926) developed a staining technique allowi"
Santiago Ramon y Cajal,PERSON,1,,,"ons (see
Figure 1.1
). This technique was used by Santiago Ramon y Cajal (1852–1934) in his pioneering studies of neuronal"
John Searle,PERSON,1,,,"In the pithy words of John Searle (1992),
brains cause minds."
Soma,ORG,1,,,"on consists of a cell body, which is also labeled Soma. The nucleus is present at the center of the cell"
Axonal,ORG,1,,,branches further as tree-like projections labeled Axonal arborization. An axon from another neuron cell is
neuron,GPE,1,,,ions called synapses. Signals are propagated from neuron to neuron by a complicated electrochemical reacti
Hans Berger,PERSON,1,,,rain activity began in 1929 with the invention by Hans Berger of the electroencephalograph (EEG). The developme
Ogawa,PERSON,1,,," of functional magnetic resonance imaging (fMRI) (Ogawa
et al.,
1990; Cabeza and Nyberg, 2001) is giving "
al.,PERSON,57,,,"ional magnetic resonance imaging (fMRI) (Ogawa
et al.,
1990; Cabeza and Nyberg, 2001) is giving neurosc"
Cabeza,ORG,1,,,"tic resonance imaging (fMRI) (Ogawa
et al.,
1990; Cabeza and Nyberg, 2001) is giving neuroscientists unpre"
Nyberg,ORG,1,,,"ce imaging (fMRI) (Ogawa
et al.,
1990; Cabeza and Nyberg, 2001) is giving neuroscientists unprecedentedly "
Crick,ORG,1,,,"uron activity and by the methods of
optogenetics
(Crick, 1999; Zemelman
et al.,
2002; Han and Boyden, 200"
Zemelman,ORG,1,,," and by the methods of
optogenetics
(Crick, 1999; Zemelman
et al.,
2002; Han and Boyden, 2007), which allow "
Boyden,GPE,1,,,"tics
(Crick, 1999; Zemelman
et al.,
2002; Han and Boyden, 2007), which allow both measurement and control "
Lebedev,PERSON,1,,,"The development of
brain-machine interfaces
(Lebedev and Nicolelis, 2006) for both sensing and motor c"
Nicolelis,GPE,1,,,"elopment of
brain-machine interfaces
(Lebedev and Nicolelis, 2006) for both sensing and motor control not onl"
Vinge,ORG,1,,,"omputers reach a superhuman level of performance (Vinge, 1993; Kurzweil, 2005; Doctorow and Stross, 2012)"
Kurzweil,GPE,1,,,"h a superhuman level of performance (Vinge, 1993; Kurzweil, 2005; Doctorow and Stross, 2012), and then rapid"
Summit,ORG,1,,,".2
A crude comparison of a leading supercomputer, Summit (Feldman, 2017); a typical personal computer of 2"
Hermann von Helmholtz,PERSON,1,,,sually traced to the work of the German physicist Hermann von Helmholtz (1821–1894) and his student Wilhelm Wundt (1832–1
Wilhelm Wundt,PERSON,1,,,Hermann von Helmholtz (1821–1894) and his student Wilhelm Wundt (1832–1920). Helmholtz applied the scientific met
Handbook of Physiological Optics,WORK_OF_ART,1,,,"ific method to the study of human vision, and his
Handbook of Physiological Optics
has been described as “the single most important "
Nalwa,PERSON,1,,,"e on the physics and physiology of human vision” (Nalwa, 1993, p.15). In 1879, Wundt opened the first lab"
p.15,PERSON,1,,,"ics and physiology of human vision” (Nalwa, 1993, p.15). In 1879, Wundt opened the first laboratory of e"
Wundt,PERSON,1,,,"gy of human vision” (Nalwa, 1993, p.15). In 1879, Wundt opened the first laboratory of experimental psych"
the University of Leipzig,ORG,1,,,"e first laboratory of experimental psychology, at the University of Leipzig. Wundt insisted on carefully
controlled experimen"
H. S. Jennings,PERSON,1,,,"veloped an objective methodology, as described by H. S. Jennings (1906) in his influential work
Behavior of the Lo"
John Watson,PERSON,1,,,"point to humans, the
behaviorism
movement, led by John Watson (1878–1958), rejected
any
theory involving mental"
William James,PERSON,1,,,"vice, can be traced back at least to the works of William James (1842–1910). Helmholtz also insisted that percept"
the United States,GPE,5,,," viewpoint was largely eclipsed by behaviorism in the United States, but at Cambridge’s Applied Psychology Unit, dire"
Cambridge’s Applied Psychology Unit,ORG,1,,,"ipsed by behaviorism in the United States, but at Cambridge’s Applied Psychology Unit, directed by Frederic Bartlett (1886–1969), cogni"
Frederic Bartlett,PERSON,1,,," Cambridge’s Applied Psychology Unit, directed by Frederic Bartlett (1886–1969), cognitive modeling was able to flour"
The Nature of Explanation,WORK_OF_ART,1,,,"The Nature of Explanation,
by Bartlett’s student and successor Kenneth Crai"
Bartlett,PERSON,1,,,"The Nature of Explanation,
by Bartlett’s student and successor Kenneth Craik (1943), for"
Kenneth Craik,PERSON,1,,," Explanation,
by Bartlett’s student and successor Kenneth Craik (1943), forcefully reestablished the legitimacy o"
Craik,ORG,3,,,Craik specified the three key steps of a knowledge-base
Donald Broadbent,PERSON,1,,,"cycle accident in 1945, his work was continued by Donald Broadbent, whose book
Perception and Communication
(1958) w"
Perception and Communication,WORK_OF_ART,1,,,"ork was continued by Donald Broadbent, whose book
Perception and Communication
(1958) was one of the first works to model psycho"
MIT,ORG,5,,,o have started at a workshop in September 1956 at MIT—just two months after the conference at which AI 
George Miller,PERSON,1,,,"e at which AI itself was “born.”
At the workshop, George Miller presented
The Magic Number Seven,
Noam Chomsky pr"
The Magic Number Seven,WORK_OF_ART,1,,," “born.”
At the workshop, George Miller presented
The Magic Number Seven,
Noam Chomsky presented
Three Models of Language,"
Noam Chomsky,PERSON,2,,,", George Miller presented
The Magic Number Seven,
Noam Chomsky presented
Three Models of Language,
and Allen New"
The Logic Theory Machine,ORG,1,,,"age,
and Allen Newell and Herbert Simon presented
The Logic Theory Machine."
Anderson,PERSON,2,,,"nitive theory should be like a computer program” (Anderson, 1980); that is, it should describe the operation"
Doug Engelbart,PERSON,1,,,"uman–computer interaction
(HCI) under psychology. Doug Engelbart, one of the pioneers of HCI, championed the idea "
HCI,PERSON,1,,,"sychology. Doug Engelbart, one of the pioneers of HCI, championed the idea of
intelligence augmentation"
IA,GPE,2,,,"championed the idea of
intelligence augmentation
—IA rather than AI. He believed that computers should"
Engelbart,ORG,1,,,"s rather than automate away human tasks. In 1968, Engelbart’s “mother of all demos” showed off for the first "
Heath Robinson,PERSON,1,,,"st
operational
computer was the electromechanical Heath Robinson,
9
built in 1943 by Alan Turing’s team for a sing"
Alan Turing’s,PERSON,2,,,"ctromechanical Heath Robinson,
9
built in 1943 by Alan Turing’s team for a single purpose: deciphering German mes"
Colossus,ORG,1,,,"n messages. In 1943, the same group developed the Colossus, a powerful general-purpose machine based on vacu"
Konrad Zuse,PERSON,1,,,"ogrammable
computer was the Z-3, the invention of Konrad Zuse in Germany in 1941. Zuse also invented floating-p"
Germany,GPE,1,,,"uter was the Z-3, the invention of Konrad Zuse in Germany in 1941. Zuse also invented floating-point number"
Plankalkül,GPE,1,,,"rs and the first high-level programming language, Plankalkül. The first
electronic
computer, the ABC, was asse"
ABC,ORG,1,,,"e, Plankalkül. The first
electronic
computer, the ABC, was assembled by John Atanasoff and his student "
John Atanasoff,PERSON,1,,,"st
electronic
computer, the ABC, was assembled by John Atanasoff and his student Clifford Berry between 1940 and 1"
Clifford Berry,PERSON,1,,,", was assembled by John Atanasoff and his student Clifford Berry between 1940 and 1942 at Iowa State University. A"
Iowa State University,ORG,1,,,s student Clifford Berry between 1940 and 1942 at Iowa State University. Atanasoff’s research received little support or 
Atanasoff,ORG,1,,,y between 1940 and 1942 at Iowa State University. Atanasoff’s research received little support or recognition
ENIAC,ORG,1,,,"eceived little support or recognition; it was the ENIAC, developed as part of a secret military project a"
the University of Pennsylvania,ORG,1,,,developed as part of a secret military project at the University of Pennsylvania by a team including John Mauchly and J. Presper E
John Mauchly,PERSON,1,,,"he University of Pennsylvania by a team including John Mauchly and J. Presper Eckert, that proved to be the most"
J. Presper Eckert,PERSON,1,,,"Pennsylvania by a team including John Mauchly and J. Presper Eckert, that proved to be the most influential forerunne"
CPU,ORG,3,,," manufacturers
to start multiplying the number of CPU cores rather than the clock speed. Current expect"
GPU,ORG,3,,,"plications, such as the graphics processing unit (GPU), tensor processing unit (TPU), and wafer scale e"
TPU,ORG,2,,,"cs processing unit (GPU), tensor processing unit (TPU), and wafer scale engine (WSE). From the 1960s to"
Moore,PRODUCT,1,,," train top machine learning applications followed Moore’s law. Beginning in 2012, things changed: from 20"
Amodei and Hernandez,ORG,1,,,"ich works out to a doubling every 100 days or so (Amodei and Hernandez, 2018). A machine learning model that took a full"
Ying,PERSON,1,,," to train in 2014 takes only two minutes in 2018 (Ying
et al.,
2018). Although it is not yet practical,
"
Joseph Marie Jacquard,PERSON,1,,,"ogrammable
machine was a loom, devised in 1805 by Joseph Marie Jacquard (1752–1834), that used punched cards to store ins"
Charles Babbage,PERSON,1,,,"In the mid-19th century, Charles Babbage (1792–1871) designed two computing machines, neit"
Babbage’s Analytical Engine,ORG,1,,,"ly built and shown to work in 1991 (Swade, 2000). Babbage’s Analytical Engine was far more ambitious: it included addressable m"
Jacquard’s,PERSON,1,,,"uded addressable memory, stored programs based on Jacquard’s punched cards, and conditional jumps. It was the "
Babbage,ORG,2,,,"Babbage’s colleague Ada Lovelace, daughter of the poet Lo"
Ada Lovelace,PERSON,1,,,"Babbage’s colleague Ada Lovelace, daughter of the poet Lord Byron, understood its "
Lovelace,PERSON,1,,,"f reasoning about “all subjects in the universe” (Lovelace, 1843). She also anticipated AI’s hype cycles, wr"
the Analytical Engine,ORG,1,,,"erated ideas that might arise as to the powers of the Analytical Engine.” Unfortunately, Babbage’s machines and Lovelace’"
Lovelace,ORG,1,,,"al Engine.” Unfortunately, Babbage’s machines and Lovelace’s ideas were largely forgotten."
Ktesibios,GPE,1,,,"Ktesibios of Alexandria (c. 250
BCE
) built the first self-"
Alexandria,GPE,1,,,"Ktesibios of Alexandria (c. 250
BCE
) built the first self-controlling ma"
James Watt,PERSON,1,,,"ems include the steam engine governor, created by James Watt (1736–1819), and the thermostat, invented by Corn"
Cornelis Drebbel,PERSON,1,,,"Watt (1736–1819), and the thermostat, invented by Cornelis Drebbel (1572–1633), who also invented the submarine. Jam"
James Clerk Maxwell,PERSON,1,,,"bel (1572–1633), who also invented the submarine. James Clerk Maxwell (1868) initiated the mathematical theory of contr"
Norbert Wiener,PERSON,4,,,"in the post-war development of
control theory
was Norbert Wiener (1894–1964). Wiener was a brilliant mathematician"
Wiener,PERSON,4,,,"of
control theory
was Norbert Wiener (1894–1964). Wiener was a brilliant mathematician who worked with Ber"
Craik,PERSON,1,,,l systems and their connection to cognition. Like Craik (who also used control systems as psychological m
Arturo Rosenblueth,PERSON,1,,," psychological models), Wiener and his colleagues Arturo Rosenblueth and Julian Bigelow challenged the behaviorist ort"
Julian Bigelow,PERSON,1,,, Wiener and his colleagues Arturo Rosenblueth and Julian Bigelow challenged the behaviorist orthodoxy (Rosenblueth
Rosenblueth,PERSON,1,,,"ian Bigelow challenged the behaviorist orthodoxy (Rosenblueth
et al.,
1943). They viewed purposive behavior as "
Warren McCulloch,PERSON,2,,,"goal state. In the late 1940s, Wiener, along with Warren McCulloch, Walter Pitts, and John von Neumann, organized a "
Walter Pitts,PERSON,2,,," late 1940s, Wiener, along with Warren McCulloch, Walter Pitts, and John von Neumann, organized a series of infl"
Wiener,ORG,3,,,"thematical and computational models of cognition. Wiener’s book
Cybernetics
(1948) became a bestseller and"
W. Ross Ashby,PERSON,1,,,"Meanwhile, in Britain, W. Ross Ashby pioneered similar ideas (Ashby, 1940). Ashby, Ala"
Ashby,ORG,3,,,"n Britain, W. Ross Ashby pioneered similar ideas (Ashby, 1940). Ashby, Alan Turing, Grey Walter, and othe"
Grey Walter,ORG,1,,," similar ideas (Ashby, 1940). Ashby, Alan Turing, Grey Walter, and others formed the Ratio Club for “those who "
the Ratio Club,ORG,1,,,"shby, Alan Turing, Grey Walter, and others formed the Ratio Club for “those who had Wiener’s ideas before Wiener’s"
Brain,ORG,1,,,"ore Wiener’s book appeared.” Ashby’s
Design for a Brain
(1948, 1952) elaborated on his idea that intellig"
B. F. Skinner,PERSON,1,,,"In 1957, B. F. Skinner published
Verbal Behavior."
Verbal Behavior,ORG,1,,,"In 1957, B. F. Skinner published
Verbal Behavior."
Syntactic Structures,PERSON,1,,," who had just published a book on his own theory,
Syntactic Structures."
Chomsky,ORG,1,,,ke up sentences that they had never heard before. Chomsky’s theory—based on syntactic models going back to 
"The History of Artificial Intelligence
One",WORK_OF_ART,1,,,"1.3The History of Artificial Intelligence
1.3
The History of Artificial Intelligence
One quick way to summarize the milestones in AI histo"
Marvin Minsky,PERSON,4,,,n AI history is to list the Turing Award winners: Marvin Minsky (1969) and John McCarthy (1971) for defining the 
John McCarthy,PERSON,5,,,he Turing Award winners: Marvin Minsky (1969) and John McCarthy (1971) for defining the foundations of the field 
Ed Feigenbaum,PERSON,2,,,ic models of problem solving and human cognition; Ed Feigenbaum and Raj Reddy (1994) for developing expert system
Raj Reddy,PERSON,1,,,em solving and human cognition; Ed Feigenbaum and Raj Reddy (1994) for developing expert systems that encode 
Judea Pearl,PERSON,1,,,ode human knowledge to solve real-world problems; Judea Pearl (2011) for developing probabilistic reasoning tec
Yoshua Bengio,PERSON,1,,,"h uncertainty in a principled manner; and finally Yoshua Bengio, Geoffrey Hinton, and Yann LeCun (2019) for makin"
Geoffrey Hinton,PERSON,1,,,"n a principled manner; and finally Yoshua Bengio, Geoffrey Hinton, and Yann LeCun (2019) for making “deep learning”"
Yann LeCun,PERSON,1,,,"; and finally Yoshua Bengio, Geoffrey Hinton, and Yann LeCun (2019) for making “deep learning” (multilayer neu"
multilayer neural networks,ORG,1,,,and Yann LeCun (2019) for making “deep learning” (multilayer neural networks) a critical part of modern computing. The rest of
Pitts’s,ORG,1,,,"3). Inspired by the mathematical modeling work of Pitts’s advisor Nicolas Rashevsky (1936, 1938), they drew"
Nicolas Rashevsky,PERSON,1,,,"the mathematical modeling work of Pitts’s advisor Nicolas Rashevsky (1936, 1938), they drew on three sources: knowled"
Whitehead,ORG,2,,,nalysis of propositional logic due to Russell and Whitehead; and Turing’s theory of computation. They propose
Pitts,GPE,2,,,ented by simple network structures. McCulloch and Pitts also suggested that suitably defined networks cou
Donald Hebb,PERSON,1,,,ested that suitably defined networks could learn. Donald Hebb (1949) demonstrated a simple updating rule for mo
Harvard,ORG,1,,,"Two undergraduate students at Harvard, Marvin Minsky (1927–2016) and Dean Edmonds, buil"
Dean Edmonds,PERSON,1,,,"tudents at Harvard, Marvin Minsky (1927–2016) and Dean Edmonds, built the first neural network computer in 1950."
"The S
NARC",ORG,1,,," built the first neural network computer in 1950. The S
NARC
, as it was called, used 3000 vacuum tubes and a "
B-24,PRODUCT,1,,,es and a surplus automatic pilot mechanism from a B-24 bomber to simulate a network of 40 neurons. Later
Princeton,GPE,2,,,"er to simulate a network of 40 neurons. Later, at Princeton, Minsky studied universal computation in neural n"
Minsky,PERSON,4,,,"ate a network of 40 neurons. Later, at Princeton, Minsky studied universal computation in neural networks."
Ph.D.,PERSON,1,,,ied universal computation in neural networks. His Ph.D. committee was skeptical about whether this kind o
von Neumann,PERSON,1,,,"ind of work should be considered mathematics, but von Neumann reportedly said, “If it isn’t now, it will be som"
Christopher Strachey,PERSON,1,,,aying programs developed independently in 1952 by Christopher Strachey at the University of Manchester and by Arthur Sam
the University of Manchester,ORG,1,,," independently in 1952 by Christopher Strachey at the University of Manchester and by Arthur Samuel at IBM. However, Alan Turing"
