实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
Pierre Laplace,PERSON,1,,,"Jacob Bernoulli (1654–1705, uncle of Daniel), Pierre Laplace (1749–1827), and others advanced the theory and introduced new statistical methods."
Thomas Bayes,PERSON,1,,,Thomas Bayes (1702–1761) proposed a rule for updating probabilities in the light of new evidence; Bayes’ rule is a crucial tool for AI systems.
Bayes,ORG,1,,,Thomas Bayes (1702–1761) proposed a rule for updating probabilities in the light of new evidence; Bayes’ rule is a crucial tool for AI systems.
John Graunt’s,PERSON,1,,,One of the first uses was John Graunt’s analysis of London census data in 1662.
London,GPE,1,,,One of the first uses was John Graunt’s analysis of London census data in 1662.
Ronald Fisher,PERSON,1,,,"Ronald Fisher is considered the first modern statistician (Fisher, 1922)."
Fisher,GPE,1,,,"Ronald Fisher is considered the first modern statistician (Fisher, 1922)."
MILLIONAIRE,ORG,1,,,"He brought together the ideas of probability, experiment design, analysis of data, and computing—in 1919, he insisted that he couldn’t do his work without a mechanical calculator called the MILLIONAIRE (the first calculator that could do multiplication), even though the cost of the calculator was more than his annual salary (Ross, 2012)."
Ross,PERSON,1,,,"He brought together the ideas of probability, experiment design, analysis of data, and computing—in 1919, he insisted that he couldn’t do his work without a mechanical calculator called the MILLIONAIRE (the first calculator that could do multiplication), even though the cost of the calculator was more than his annual salary (Ross, 2012)."
Euclid’s,ORG,1,,,"The history of computation is as old as the history of numbers, but the first nontrivial algorithm is thought to be Euclid’s algorithm for computing greatest common divisors."
Muhammad,PERSON,1,,,"The word algorithm comes from Muhammad ibn Musa al-Khwarizmi, a 9th century mathematician, whose writings also introduced Arabic numerals and algebra to Europe."
Kurt Gӧdel,PERSON,1,,,"Kurt Gӧdel (1906–1978) showed that there exists an effective procedure to prove any true statement in the first-order logic of Frege and Russell, but that first-order logic could not capture the principle of mathematical induction needed to characterize the natural numbers."
Frege,ORG,1,,,"Kurt Gӧdel (1906–1978) showed that there exists an effective procedure to prove any true statement in the first-order logic of Frege and Russell, but that first-order logic could not capture the principle of mathematical induction needed to characterize the natural numbers."
Russell,PERSON,6,,,"Kurt Gӧdel (1906–1978) showed that there exists an effective procedure to prove any true statement in the first-order logic of Frege and Russell, but that first-order logic could not capture the principle of mathematical induction needed to characterize the natural numbers."
Gӧdel,PERSON,1,,,"In 1931, Gӧdel showed that limits on deduction do exist."
Peano,ORG,1,,,"His incompleteness theorem showed that in any formal theory as strong as Peano arithmetic (the elementary theory of natural numbers), there are necessarily true statements that have no proof within the theory."
Church,ORG,1,,,"The Church–Turing thesis proposes to identify the general notion of computability with functions computed by a Turing machine (Turing, 1936)."
Cobham,ORG,1,,,"The distinction between polynomial and exponential growth in complexity was first emphasized in the mid-1960s (Cobham, 1964; Edmonds, 1965)."
Edmonds,PERSON,1,,,"The distinction between polynomial and exponential growth in complexity was first emphasized in the mid-1960s (Cobham, 1964; Edmonds, 1965)."
NP,ORG,12,,,"The theory of NP-completeness, pioneered by Cook (1971) and Karp (1972), provides a basis for analyzing the tractability of problems: any problem class to which the class of NP-complete problems can be reduced is likely to be intractable."
Cook,PERSON,1,,,"The theory of NP-completeness, pioneered by Cook (1971) and Karp (1972), provides a basis for analyzing the tractability of problems: any problem class to which the class of NP-complete problems can be reduced is likely to be intractable."
Karp,PERSON,3,,,"The theory of NP-completeness, pioneered by Cook (1971) and Karp (1972), provides a basis for analyzing the tractability of problems: any problem class to which the class of NP-complete problems can be reduced is likely to be intractable."
Adam Smith,PERSON,1,,,"The science of economics originated in 1776, when Adam Smith (1723–1790) published An Inquiry into the Nature and Causes of the Wealth of Nations."
Smith,PERSON,4,,,Smith proposed to analyze economies as consisting of many individual agents attending to their own interests.
The Theory of Moral Sentiments,WORK_OF_ART,1,,,"Smith was not, however, advocating financial greed as a moral position: his earlier (1759) book The Theory of Moral Sentiments begins by pointing out that concern for the well-being of others is an essential component of the interests of every individual."
Arnauld,PERSON,1,,,"Most people think of economics as being about money, and indeed the first mathematical analysis of decisions under uncertainty, the maximum-expected-value formula of Arnauld (1662), dealt with the monetary value of bets."
Léon Walras,PERSON,1,,,Léon Walras (pronounced “Valrasse”) (1834–1910) gave utility theory a more general foundation in terms of preferences between gambles on any outcomes (not just monetary outcomes).
Ramsey,PERSON,1,,,The theory was improved by Ramsey (1931) and later by John von Neumann and Oskar Morgenstern in their book The Theory of Games and Economic Behavior (1944).
John von Neumann,PERSON,2,,,The theory was improved by Ramsey (1931) and later by John von Neumann and Oskar Morgenstern in their book The Theory of Games and Economic Behavior (1944).
Oskar Morgenstern,PERSON,1,,,The theory was improved by Ramsey (1931) and later by John von Neumann and Oskar Morgenstern in their book The Theory of Games and Economic Behavior (1944).
The Theory of Games and Economic Behavior,WORK_OF_ART,1,,,The theory was improved by Ramsey (1931) and later by John von Neumann and Oskar Morgenstern in their book The Theory of Games and Economic Behavior (1944).
Von Neumann,PERSON,1,,,"Von Neumann and Morgenstern’s development of game theory (see also Luce and Raiffa, 1957) included the surprising result that, for some games, a rational agent should adopt policies that are (or least appear to be) randomized."
Morgenstern’s,ORG,1,,,"Von Neumann and Morgenstern’s development of game theory (see also Luce and Raiffa, 1957) included the surprising result that, for some games, a rational agent should adopt policies that are (or least appear to be) randomized."
Luce,PRODUCT,1,,,"Von Neumann and Morgenstern’s development of game theory (see also Luce and Raiffa, 1957) included the surprising result that, for some games, a rational agent should adopt policies that are (or least appear to be) randomized."
Raiffa,PERSON,1,,,"Von Neumann and Morgenstern’s development of game theory (see also Luce and Raiffa, 1957) included the surprising result that, for some games, a rational agent should adopt policies that are (or least appear to be) randomized."
World War II,EVENT,2,,,"This topic was pursued in the field of operations research, which emerged in World War II from efforts in Britain to optimize radar installations, and later found innumerable civilian applications."
Britain,GPE,4,,,"This topic was pursued in the field of operations research, which emerged in World War II from efforts in Britain to optimize radar installations, and later found innumerable civilian applications."
Richard Bellman,PERSON,2,,,"The work of Richard Bellman (1957) formalized a class of sequential decision problems called Markov decision processes, which we study in Chapter 16 and, under the heading of reinforcement learning, in Chapter 23."
Markov,PERSON,5,,,"The work of Richard Bellman (1957) formalized a class of sequential decision problems called Markov decision processes, which we study in Chapter 16 and, under the heading of reinforcement learning, in Chapter 23."
the Nobel Prize,WORK_OF_ART,2,,,"The pioneering AI researcher Herbert Simon (1916–2001) won the Nobel Prize in economics in 1978 for his early work showing that models based on satisficing—making decisions that are “good enough, ” rather than laboriously calculating an optimal decision—gave a better description of actual human behavior (Simon, 1947)."
Neuroscience,ORG,1,,,"Neuroscience is the study of the nervous system, particularly the brain."
BCE Aristotle,PERSON,1,,,"It has also long been known that human brains are somehow different; in about 335 BCE Aristotle wrote, “Of all the animals, man has the largest brain in proportion to his size."
Paul Broca’s,PERSON,1,,,Paul Broca’s (1824–1880) investigation of aphasia (speech deficit) in brain-damaged patients in 1861 initiated the study of the brain’s functional organization by identifying a localized area in the left hemisphere—now called Broca’s area—that is responsible for speech production.
aphasia,ORG,1,,,Paul Broca’s (1824–1880) investigation of aphasia (speech deficit) in brain-damaged patients in 1861 initiated the study of the brain’s functional organization by identifying a localized area in the left hemisphere—now called Broca’s area—that is responsible for speech production.
Broca’s,ORG,1,,,Paul Broca’s (1824–1880) investigation of aphasia (speech deficit) in brain-damaged patients in 1861 initiated the study of the brain’s functional organization by identifying a localized area in the left hemisphere—now called Broca’s area—that is responsible for speech production.
Camillo Golgi,ORG,1,,,"7 By that time, it was known that the brain consisted largely of nerve cells, or neurons, but it was not until 1873 that Camillo Golgi (1843–1926) developed a staining technique allowing the observation of individual neurons (see Figure 1."
Santiago Ramon y Cajal,PERSON,1,,,This technique was used by Santiago Ramon y Cajal (1852–1934) in his pioneering studies of neuronal organization.
John Searle,PERSON,1,,,"In the pithy words of John Searle (1992), brains cause minds."
Soma,ORG,1,,,"Description The neuron consists of a cell body, which is also labeled Soma."
Axonal,ORG,1,,,The other end of the axon branches further as tree-like projections labeled Axonal arborization.
neuron,GPE,1,,,Signals are propagated from neuron to neuron by a complicated electrochemical reaction.
Hans Berger,PERSON,1,,,The measurement of intact brain activity began in 1929 with the invention by Hans Berger of the electroencephalograph (EEG).
Ogawa et al.,ORG,1,,,The development of functional magnetic resonance imaging (fMRI) (Ogawa et al.
Cabeza,ORG,1,,,", 1990; Cabeza and Nyberg, 2001) is giving neuroscientists unprecedentedly detailed images of brain activity, enabling measurements that correspond in interesting ways to ongoing cognitive processes."
Nyberg,ORG,1,,,", 1990; Cabeza and Nyberg, 2001) is giving neuroscientists unprecedentedly detailed images of brain activity, enabling measurements that correspond in interesting ways to ongoing cognitive processes."
Crick,ORG,1,,,"These are augmented by advances in single-cell electrical recording of neuron activity and by the methods of optogenetics (Crick, 1999; Zemelman et al."
Zemelman,ORG,1,,,"These are augmented by advances in single-cell electrical recording of neuron activity and by the methods of optogenetics (Crick, 1999; Zemelman et al."
Boyden,GPE,1,,,", 2002; Han and Boyden, 2007), which allow both measurement and control of individual neurons modified to be light-sensitive."
Lebedev,PERSON,1,,,"The development of brain-machine interfaces (Lebedev and Nicolelis, 2006) for both sensing and motor control not only promises to restore function to disabled individuals, but also sheds light on many aspects of neural systems."
Nicolelis,GPE,1,,,"The development of brain-machine interfaces (Lebedev and Nicolelis, 2006) for both sensing and motor control not only promises to restore function to disabled individuals, but also sheds light on many aspects of neural systems."
Vinge,ORG,1,,,"Futurists make much of these numbers, pointing to an approaching singularity at which computers reach a superhuman level of performance (Vinge, 1993; Kurzweil, 2005; Doctorow and Stross, 2012), and then rapidly improve themselves even further."
Kurzweil,GPE,1,,,"Futurists make much of these numbers, pointing to an approaching singularity at which computers reach a superhuman level of performance (Vinge, 1993; Kurzweil, 2005; Doctorow and Stross, 2012), and then rapidly improve themselves even further."
Summit,ORG,1,,,"2A crude comparison of a leading supercomputer, Summit (Feldman, 2017); a typical personal computer of 2019; and the human brain."
Hermann von Helmholtz,PERSON,1,,,The origins of scientific psychology are usually traced to the work of the German physicist Hermann von Helmholtz (1821–1894) and his student Wilhelm Wundt (1832–1920).
Wilhelm Wundt,PERSON,1,,,The origins of scientific psychology are usually traced to the work of the German physicist Hermann von Helmholtz (1821–1894) and his student Wilhelm Wundt (1832–1920).
Handbook of Physiological Optics,ORG,1,,,"Helmholtz applied the scientific method to the study of human vision, and his Handbook of Physiological Optics has been described as “the single most important treatise on the physics and physiology of human vision” (Nalwa, 1993, p. 15)."
Nalwa,PERSON,1,,,"Helmholtz applied the scientific method to the study of human vision, and his Handbook of Physiological Optics has been described as “the single most important treatise on the physics and physiology of human vision” (Nalwa, 1993, p. 15)."
Wundt,PERSON,1,,,"In 1879, Wundt opened the first laboratory of experimental psychology, at the University of Leipzig."
the University of Leipzig,ORG,1,,,"In 1879, Wundt opened the first laboratory of experimental psychology, at the University of Leipzig."
H. S. Jennings,PERSON,1,,,"Biologists studying animal behavior, on the other hand, lacked introspective data and developed an objective methodology, as described by H. S. Jennings (1906) in his influential work Behavior of the Lower Organisms."
Behavior of the Lower Organisms,WORK_OF_ART,1,,,"Biologists studying animal behavior, on the other hand, lacked introspective data and developed an objective methodology, as described by H. S. Jennings (1906) in his influential work Behavior of the Lower Organisms."
John Watson,PERSON,1,,,"Applying this viewpoint to humans, the behaviorism movement, led by John Watson (1878–1958), rejected any theory involving mental processes on the grounds that introspection could not provide reliable evidence."
William James,PERSON,1,,,"Cognitive psychology, which views the brain as an information-processing device, can be traced back at least to the works of William James (1842–1910)."
the United States,GPE,5,,,"The cognitive viewpoint was largely eclipsed by behaviorism in the United States, but at Cambridge’s Applied Psychology Unit, directed by Frederic Bartlett (1886–1969), cognitive modeling was able to flourish."
Cambridge’s Applied Psychology Unit,ORG,1,,,"The cognitive viewpoint was largely eclipsed by behaviorism in the United States, but at Cambridge’s Applied Psychology Unit, directed by Frederic Bartlett (1886–1969), cognitive modeling was able to flourish."
Frederic Bartlett,PERSON,1,,,"The cognitive viewpoint was largely eclipsed by behaviorism in the United States, but at Cambridge’s Applied Psychology Unit, directed by Frederic Bartlett (1886–1969), cognitive modeling was able to flourish."
The Nature of Explanation,WORK_OF_ART,1,,,"The Nature of Explanation, by Bartlett’s student and successor Kenneth Craik (1943), forcefully reestablished the legitimacy of such “mental” terms as beliefs and goals, arguing that they are just as scientific as, say, using pressure and temperature to talk about gases, despite gasses being made of molecules that have neither."
Bartlett,PERSON,1,,,"The Nature of Explanation, by Bartlett’s student and successor Kenneth Craik (1943), forcefully reestablished the legitimacy of such “mental” terms as beliefs and goals, arguing that they are just as scientific as, say, using pressure and temperature to talk about gases, despite gasses being made of molecules that have neither."
Kenneth Craik,PERSON,1,,,"The Nature of Explanation, by Bartlett’s student and successor Kenneth Craik (1943), forcefully reestablished the legitimacy of such “mental” terms as beliefs and goals, arguing that they are just as scientific as, say, using pressure and temperature to talk about gases, despite gasses being made of molecules that have neither."
Craik,PERSON,2,,,"Craik specified the three key steps of a knowledge-based agent: (1) the stimulus must be translated into an internal representation, (2) the representation is manipulated by cognitive processes to derive new internal representations, and (3) these are in turn retranslated back into action."
Craik,ORG,2,,,"(Craik, 1943) After Craik’s death in a bicycle accident in 1945, his work was continued by Donald Broadbent, whose book Perception and Communication (1958) was one of the first works to model psychological phenomena as information processing."
Donald Broadbent,PERSON,1,,,"(Craik, 1943) After Craik’s death in a bicycle accident in 1945, his work was continued by Donald Broadbent, whose book Perception and Communication (1958) was one of the first works to model psychological phenomena as information processing."
Perception and Communication,ORG,1,,,"(Craik, 1943) After Craik’s death in a bicycle accident in 1945, his work was continued by Donald Broadbent, whose book Perception and Communication (1958) was one of the first works to model psychological phenomena as information processing."
MIT,ORG,5,,,The field can be said to have started at a workshop in September 1956 at MIT—just two months after the conference at which AI itself was “born.
George Miller,PERSON,1,,,"” At the workshop, George Miller presented The Magic Number Seven, Noam Chomsky presented Three Models of Language, and Allen Newell and Herbert Simon presented The Logic Theory Machine."
The Magic Number Seven,WORK_OF_ART,1,,,"” At the workshop, George Miller presented The Magic Number Seven, Noam Chomsky presented Three Models of Language, and Allen Newell and Herbert Simon presented The Logic Theory Machine."
Noam Chomsky,PERSON,2,,,"” At the workshop, George Miller presented The Magic Number Seven, Noam Chomsky presented Three Models of Language, and Allen Newell and Herbert Simon presented The Logic Theory Machine."
The Logic Theory Machine,ORG,1,,,"” At the workshop, George Miller presented The Magic Number Seven, Noam Chomsky presented Three Models of Language, and Allen Newell and Herbert Simon presented The Logic Theory Machine."
Anderson,PERSON,1,,,"It is now a common (although far from universal) view among psychologists that “a cognitive theory should be like a computer program” (Anderson, 1980); that is, it should describe the operation of a cognitive function in terms of the processing of information."
Doug Engelbart,PERSON,1,,,"Doug Engelbart, one of the pioneers of HCI, championed the idea of intelligence augmentation—IA rather than AI."
HCI,PERSON,1,,,"Doug Engelbart, one of the pioneers of HCI, championed the idea of intelligence augmentation—IA rather than AI."
IA,GPE,2,,,"Doug Engelbart, one of the pioneers of HCI, championed the idea of intelligence augmentation—IA rather than AI."
Engelbart,ORG,1,,,"In 1968, Engelbart’s “mother of all demos” showed off for the first time the computer mouse, a windowing system, hypertext, and video conferencing—all in an effort to demonstrate what human knowledge workers could collectively accomplish with some intelligence augmentation."
Heath Robinson,PERSON,1,,,"The first operational computer was the electromechanical Heath Robinson, 9 built in 1943 by Alan Turing’s team for a single purpose: deciphering German messages."
Alan Turing’s,PERSON,2,,,"The first operational computer was the electromechanical Heath Robinson, 9 built in 1943 by Alan Turing’s team for a single purpose: deciphering German messages."
Colossus,ORG,1,,,"In 1943, the same group developed the Colossus, a powerful general-purpose machine based on vacuum tubes."
Konrad Zuse,PERSON,1,,,"10 The first operational programmable computer was the Z-3, the invention of Konrad Zuse in Germany in 1941."
Germany,GPE,1,,,"10 The first operational programmable computer was the Z-3, the invention of Konrad Zuse in Germany in 1941."
Plankalkül,GPE,1,,,"Zuse also invented floating-point numbers and the first high-level programming language, Plankalkül."
ABC,ORG,1,,,"The first electronic computer, the ABC, was assembled by John Atanasoff and his student Clifford Berry between 1940 and 1942 at Iowa State University."
John Atanasoff,PERSON,1,,,"The first electronic computer, the ABC, was assembled by John Atanasoff and his student Clifford Berry between 1940 and 1942 at Iowa State University."
Clifford Berry,PERSON,1,,,"The first electronic computer, the ABC, was assembled by John Atanasoff and his student Clifford Berry between 1940 and 1942 at Iowa State University."
Iowa State University,ORG,1,,,"The first electronic computer, the ABC, was assembled by John Atanasoff and his student Clifford Berry between 1940 and 1942 at Iowa State University."
Atanasoff,ORG,1,,,"Atanasoff’s research received little support or recognition; it was the ENIAC, developed as part of a secret military project at the University of Pennsylvania by a team including John Mauchly and J. Presper Eckert, that proved to be the most influential forerunner of modern computers."
ENIAC,ORG,1,,,"Atanasoff’s research received little support or recognition; it was the ENIAC, developed as part of a secret military project at the University of Pennsylvania by a team including John Mauchly and J. Presper Eckert, that proved to be the most influential forerunner of modern computers."
the University of Pennsylvania,ORG,1,,,"Atanasoff’s research received little support or recognition; it was the ENIAC, developed as part of a secret military project at the University of Pennsylvania by a team including John Mauchly and J. Presper Eckert, that proved to be the most influential forerunner of modern computers."
