术语,出现次数,领域分类,建议译法（人工填写）,校验结果（通过/修改）
depth,48,通用术语,,
generated,48,通用术语,,
solve,47,通用术语,,
measure,47,通用术语,,
small,47,通用术语,,
map,47,通用术语,,
arrowhead,47,通用术语,,
behavior,46,通用术语,,
following,46,通用术语,,
plan,46,通用术语,,
single,46,通用术语,,
top,46,通用术语,,
successor,46,通用术语,,
blue,46,通用术语,,
csps,46,通用术语,,
reasoning,45,通用术语,,
equal,45,通用术语,,
consistency,45,通用术语,,
connected,44,通用术语,,
mean,44,通用术语,,
complexity,44,通用术语,,
call,43,通用术语,,
important,43,通用术语,,
utility,43,通用术语,,
large,43,通用术语,,
dirt,43,通用术语,,
term,42,通用术语,,
much,42,通用术语,,
research,41,通用术语,,
consistent,41,通用术语,,
queen,41,通用术语,,
several,40,通用术语,,
solving,40,通用术语,,
return,40,通用术语,,
online,40,通用术语,,
distance,40,通用术语,,
rimnicu,40,通用术语,,
maximum,40,通用术语,,
programming,39,通用术语,,
learn,39,通用术语,,
described,39,通用术语,,
change,39,通用术语,,
choice,39,通用术语,,
black,39,通用术语,,
clean,39,通用术语,,
intelligent,38,通用术语,,
physical,38,通用术语,,
progress,38,通用术语,,
give,38,通用术语,,
known,38,通用术语,,
root,38,通用术语,,
nondeterministic,38,通用术语,,
vilcea,38,通用术语,,
tile,38,通用术语,,
backtracking,38,通用术语,,
arc,38,通用术语,,
based,37,通用术语,,
probability,37,通用术语,,
element,37,通用术语,,
fagaras,37,通用术语,,
best-first,37,通用术语,,
depth-first,37,通用术语,,
try,36,通用术语,,
brain,36,通用术语,,
come,36,通用术语,,
turn,36,通用术语,,
run,36,通用术语,,
end,36,通用术语,,
individual,36,通用术语,,
fourth,36,通用术语,,
real,35,通用术语,,
standard,35,通用术语,,
size,35,通用术语,,
position,35,通用术语,,
table,35,通用术语,,
conflict,35,通用术语,,
infinite,35,通用术语,,
climbing,35,通用术语,,
note,34,通用术语,,
road,34,通用术语,,
component,34,通用术语,,
puzzle,34,通用术语,,
optimization,34,通用术语,,
hill,34,通用术语,,
book,33,通用术语,,
early,33,通用术语,,
kind,33,通用术语,,
operation,33,通用术语,,
logic,33,通用术语,,
choose,33,通用术语,,
white,33,通用术语,,
found,33,通用术语,,
max,33,通用术语,,
reflex,32,通用术语,,
lead,32,通用术语,,
circle,32,通用术语,,
order,32,通用术语,,
game,32,通用术语,,
solved,32,通用术语,,
random,32,通用术语,,
parent,32,通用术语,,
artificial,31,通用术语,,
year,31,通用术语,,
science,31,通用术语,,
applied,31,通用术语,,
making,31,通用术语,,
complex,31,通用术语,,
area,31,通用术语,,
concept,31,通用术语,,
introduced,31,通用术语,,
cycle,31,通用术语,,
network,31,通用术语,,
think,30,通用术语,,
driving,30,通用术语,,
car,30,通用术语,,
version,30,通用术语,,
defined,30,通用术语,,
others,30,通用术语,,
property,30,通用术语,,
question,30,通用术语,,
object,30,通用术语,,
least,30,通用术语,,
taxi,30,通用术语,,
city,30,通用术语,,
estimate,30,通用术语,,
grid,30,通用术语,,
checking,30,通用术语,,
breadth-first,30,通用术语,,
subscript,30,通用术语,,
admissible,30,通用术语,,
thought,29,通用术语,,
deal,29,通用术语,,
useful,29,通用术语,,
long,29,通用术语,,
planning,29,通用术语,,
genetic,29,通用术语,,
direction,29,通用术语,,
landmark,29,通用术语,,
deterministic,29,通用术语,,
pair,29,通用术语,,
pitesti,29,通用术语,,
minimum,29,通用术语,,
bidirectional,29,通用术语,,
history,28,通用术语,,
hand,28,通用术语,,
turing,28,通用术语,,
test,28,通用术语,,
mind,28,通用术语,,
achieve,28,通用术语,,
failure,28,通用术语,,
represented,28,通用术语,,
application,28,通用术语,,
follows,28,通用术语,,
suck,28,通用术语,,
partial,28,通用术语,,
thing,27,通用术语,,
outcome,27,通用术语,,
made,27,通用术语,,
limit,27,通用术语,,
instance,27,通用术语,,
finding,27,通用术语,,
factor,27,通用术语,,
leaf,27,通用术语,,
linear,27,通用术语,,
understanding,26,通用术语,,
internal,26,通用术语,,
condition,26,通用术语,,
able,26,通用术语,,
computation,26,通用术语,,
paper,26,通用术语,,
available,26,通用术语,,
notion,26,通用术语,,
multiple,26,通用术语,,
including,26,通用术语,,
showed,26,通用术语,,
continuous,26,通用术语,,
previous,26,通用术语,,
represent,26,通用术语,,
evaluation,26,通用术语,,
study,25,通用术语,,
chess,25,通用术语,,
mathematical,25,通用术语,,
total,25,通用术语,,
logical,25,通用术语,,
course,25,通用术语,,
expected,25,通用术语,,
effective,25,通用术语,,
fact,25,通用术语,,
us,25,通用术语,,
better,25,通用术语,,
bold,25,通用术语,,
global,25,通用术语,,
unknown,25,通用术语,,
dirty,25,通用术语,,
bar,25,通用术语,,
iteration,25,通用术语,,
queue,25,通用术语,,
contour,25,通用术语,,
sensorless,25,通用术语,,
correct,24,通用术语,,
provide,24,通用术语,,
easy,24,通用术语,,
track,24,通用术语,,
moving,24,通用术语,,
blank,24,通用术语,,
recognition,23,通用术语,,
corresponding,23,通用术语,,
simon,23,通用术语,,
future,23,通用术语,,
preference,23,通用术语,,
contains,23,通用术语,,
success,23,通用术语,,
stochastic,23,通用术语,,
particular,23,通用术语,,
transition,23,通用术语,,
database,23,通用术语,,
route,23,通用术语,,
board,23,通用术语,,
actuator,23,通用术语,,
color,23,通用术语,,
timisoara,23,通用术语,,
variety,22,通用术语,,
expert,22,通用术语,,
specific,22,通用术语,,
definition,22,通用术语,,
observation,22,通用术语,,
various,22,通用术语,,
pattern,22,通用术语,,
led,22,通用术语,,
inference,22,通用术语,,
allow,22,通用术语,,
word,22,通用术语,,
input,22,通用术语,,
seen,22,通用术语,,
common,22,通用术语,,
region,22,通用术语,,
similar,22,通用术语,,
conference,22,通用术语,,
deep,22,通用术语,,
done,22,通用术语,,
strategy,22,通用术语,,
place,22,通用术语,,
bottom,22,通用术语,,
expand,22,通用术语,,
lavender,22,通用术语,,
iterative,22,通用术语,,
belief-state,22,通用术语,,
decomposition,22,通用术语,,
act,21,通用术语,,
researcher,21,通用术语,,
rationality,21,通用术语,,
provides,21,通用术语,,
vision,21,通用术语,,
speech,21,通用术语,,
build,21,通用术语,,
fill,21,通用术语,,
generate,21,通用术语,,
neuron,21,通用术语,,
branching,21,通用术语,,
become,21,通用术语,,
check,21,通用术语,,
suppose,21,通用术语,,
satisfaction,21,通用术语,,
deepening,21,通用术语,,
formal,20,通用术语,,
actual,20,通用术语,,
principle,20,通用术语,,
computational,20,通用术语,,
true,20,通用术语,,
sense,20,通用术语,,
appear,20,通用术语,,
according,20,通用术语,,
seems,20,通用术语,,
appears,20,通用术语,,
average,20,通用术语,,
considered,20,通用术语,,
exact,20,通用术语,,
basic,20,通用术语,,
bit,20,通用术语,,
trying,20,通用术语,,
appropriate,20,通用术语,,
loop,20,通用术语,,
selection,20,通用术语,,
digit,20,通用术语,,
original,20,通用术语,,
finite,20,通用术语,,
edge,20,通用术语,,
empty,20,通用术语,,
8-puzzle,20,通用术语,,
ac-3,20,通用术语,,
thousand,19,通用术语,,
rest,19,通用术语,,
let,19,通用术语,,
look,19,通用术语,,
natural,19,通用术语,,
requires,19,通用术语,,
uncertainty,19,通用术语,,
development,19,通用术语,,
reason,19,通用术语,,
effect,19,通用术语,,
connection,19,通用术语,,
greedy,19,通用术语,,
class,19,通用术语,,
middle,19,通用术语,,
consists,19,通用术语,,
go,19,通用术语,,
type,19,通用术语,,
fifth,19,通用术语,,
searching,19,通用术语,,
zerind,19,通用术语,,
state-space,19,通用术语,,
expands,19,通用术语,,
arc-consistent,19,通用术语,,
thinking,18,通用术语,,
provided,18,通用术语,,
certain,18,通用术语,,
chance,18,通用术语,,
describe,18,通用术语,,
view,18,通用术语,,
experience,18,通用术语,,
assigned,18,通用术语,,
last,18,通用术语,,
amount,18,通用术语,,
going,18,通用术语,,
list,18,通用术语,,
help,18,通用术语,,
practice,18,通用术语,,
implementation,18,通用术语,,
atomic,18,通用术语,,
shade,18,通用术语,,
romania,18,通用术语,,
formulation,18,通用术语,,
adjacent,18,通用术语,,
expanding,18,通用术语,,
uniform-cost,18,通用术语,,
min,18,通用术语,,
crossover,18,通用术语,,
answer,17,通用术语,,
cognitive,17,通用术语,,
law,17,通用术语,,
advantage,17,通用术语,,
analysis,17,通用术语,,
destination,17,通用术语,,
put,17,通用术语,,
computing,17,通用术语,,
great,17,通用术语,,
john,17,通用术语,,
bound,17,通用术语,,
include,17,通用术语,,
probabilistic,17,通用术语,,
multiagent,17,通用术语,,
influential,17,通用术语,,
resulting,17,通用术语,,
less,17,通用术语,,
page,17,通用术语,,
airport,17,通用术语,,
marked,17,通用术语,,
mutation,17,通用术语,,
depends,17,通用术语,,
scheduling,17,通用术语,,
dynamic,17,通用术语,,
king,17,通用术语,,
update,17,通用术语,,
simulated,17,通用术语,,
shaded,17,通用术语,,
cleaner,17,通用术语,,
faded,17,通用术语,,
rbfs,17,通用术语,,
fitness,17,通用术语,,
australia,17,通用术语,,
backjumping,17,通用术语,,
compute,16,通用术语,,
situation,16,通用术语,,
open,16,通用术语,,
combination,16,通用术语,,
proposed,16,通用术语,,
experiment,16,通用术语,,
automated,16,通用术语,,
assume,16,通用术语,,
distinction,16,通用术语,,
driver,16,通用术语,,
want,16,通用术语,,
string,16,通用术语,,
nothing,16,通用术语,,
nature,16,通用术语,,
interest,16,通用术语,,
tool,16,通用术语,,
image,16,通用术语,,
neural,16,通用术语,,
minute,16,通用术语,,
beam,16,通用术语,,
entire,16,通用术语,,
stage,16,通用术语,,
length,16,通用术语,,
goal-based,16,通用术语,,
weighted,16,通用术语,,
chosen,16,通用术语,,
oradea,16,通用术语,,
guaranteed,16,通用术语,,
legal,16,通用术语,,
faint,16,通用术语,,
relaxed,16,通用术语,,
8-queens,16,通用术语,,
annealing,16,通用术语,,
equation,16,通用术语,,
bracket,16,通用术语,,
nsw,16,通用术语,,
alldiff,16,通用术语,,
sudoku,16,通用术语,,
width,16,通用术语,,
wide,15,通用术语,,
student,15,通用术语,,
theorem,15,通用术语,,
processing,15,通用术语,,
flight,15,通用术语,,
mechanism,15,通用术语,,
modern,15,通用术语,,
light,15,通用术语,,
due,15,通用术语,,
needed,15,通用术语,,
risk,15,通用术语,,
increase,15,通用术语,,
alternative,15,通用术语,,
branch,15,通用术语,,
addition,15,通用术语,,
integer,15,通用术语,,
tree-like,15,通用术语,,
possibility,15,通用术语,,
describes,15,通用术语,,
international,15,通用术语,,
cross,15,通用术语,,
chooses,15,通用术语,,
notice,15,通用术语,,
uninformed,15,通用术语,,
reachable,15,通用术语,,
cost-optimal,15,通用术语,,
larger,14,通用术语,,
involving,14,通用术语,,
people,14,通用术语,,
becomes,14,通用术语,,
animal,14,通用术语,,
attempt,14,通用术语,,
leading,14,通用术语,,
taking,14,通用术语,,
avoid,14,通用术语,,
additional,14,通用术语,,
fixed,14,通用术语,,
topic,14,通用术语,,
cause,14,通用术语,,
boolean,14,通用术语,,
exponential,14,通用术语,,
reduced,14,通用术语,,
increasing,14,通用术语,,
improve,14,通用术语,,
purpose,14,通用术语,,
practical,14,通用术语,,
conditional,14,通用术语,,
handle,14,通用术语,,
main,14,通用术语,,
evolution,14,通用术语,,
hard,14,通用术语,,
estimated,14,通用术语,,
variant,14,通用术语,,
traffic,14,通用术语,,
reduce,14,通用术语,,
efficiency,14,通用术语,,
triangle,14,通用术语,,
sma,14,通用术语,,
subproblem,14,通用术语,,
gradient,14,通用术语,,
population,14,通用术语,,
connect,14,通用术语,,
psychology,13,通用术语,,
involves,13,通用术语,,
group,13,通用术语,,
detail,13,通用术语,,
designed,13,通用术语,,
written,13,通用术语,,
little,13,通用术语,,
difference,13,通用术语,,
uncertain,13,通用术语,,
taken,13,通用术语,,
scientific,13,通用术语,,
issue,13,通用术语,,
difficult,13,通用术语,,
happens,13,通用术语,,
power,13,通用术语,,
produce,13,通用术语,,
became,13,通用术语,,
studied,13,通用术语,,
present,13,通用术语,,
unit,13,通用术语,,
aspect,13,通用术语,,
require,13,通用术语,,
constant,13,通用术语,,
close,13,通用术语,,
mccarthy,13,通用术语,,
real-world,13,通用术语,,
neighboring,13,通用术语,,
problem-solving,13,通用术语,,
percent,13,通用术语,,
aim,13,通用术语,,
range,13,通用术语,,
peak,13,通用术语,,
name,13,通用术语,,
autonomous,13,通用术语,,
select,13,通用术语,,
eliminate,13,通用术语,,
exploration,13,通用术语,,
sixth,13,通用术语,,
discrete,13,通用术语,,
model-based,13,通用术语,,
utility-based,13,通用术语,,
corresponds,13,通用术语,,
add,13,通用术语,,
circular,13,通用术语,,
remaining,13,通用术语,,
redundant,13,通用术语,,
ordering,13,通用术语,,
neighbor,13,通用术语,,
landscape,13,通用术语,,
hill-climbing,13,通用术语,,
plateau,13,通用术语,,
offspring,13,通用术语,,
convex,13,通用术语,,
propagation,13,通用术语,,
subject,12,通用术语,,
survey,12,通用术语,,
response,12,通用术语,,
solver,12,通用术语,,
construct,12,通用术语,,
achieved,12,通用术语,,
prediction,12,通用术语,,
count,12,通用术语,,
sum,12,通用术语,,
theoretical,12,通用术语,,
negative,12,通用术语,,
one,12,通用术语,,
implement,12,通用术语,,
device,12,通用术语,,
wheel,12,通用术语,,
recent,12,通用术语,,
adding,12,通用术语,,
degree,12,通用术语,,
implemented,12,通用术语,,
explained,12,通用术语,,
bad,12,通用术语,,
discussed,12,通用术语,,
seem,12,通用术语,,
reinforcement,12,通用术语,,
typical,12,通用术语,,
perform,12,通用术语,,
invented,12,通用术语,,
journal,12,通用术语,,
getting,12,通用术语,,
placed,12,通用术语,,
looking,12,通用术语,,
major,12,通用术语,,
cover,12,通用术语,,
increased,12,通用术语,,
benefit,12,通用术语,,
vehicle,12,通用术语,,
walk,12,通用术语,,
user,12,通用术语,,
historical,12,通用术语,,
depicted,12,通用术语,,
factored,12,通用术语,,
remove,12,通用术语,,
lower,12,通用术语,,
backtrack,12,通用术语,,
subset,12,通用术语,,
korf,12,通用术语,,
subproblems,12,通用术语,,
dechter,12,通用术语,,
understand,11,通用术语,,
predict,11,通用术语,,
whereas,11,通用术语,,
external,11,通用术语,,
related,11,通用术语,,
mathematics,11,通用术语,,
tell,11,通用术语,,
detect,11,通用术语,,
effort,11,通用术语,,
reader,11,通用术语,,
allowed,11,通用术语,,
combined,11,通用术语,,
allows,11,通用术语,,
something,11,通用术语,,
built,11,通用术语,,
specify,11,通用术语,,
towards,11,通用术语,,
mechanical,11,通用术语,,
quality,11,通用术语,,
choosing,11,通用术语,,
movement,11,通用术语,,
russell,11,通用术语,,
e.g.,11,通用术语,,
activity,11,通用术语,,
computed,11,通用术语,,
central,11,通用术语,,
greater,11,通用术语,,
proved,11,通用术语,,
popular,11,通用术语,,
player,11,通用术语,,
selecting,11,通用术语,,
applying,11,通用术语,,
lot,11,通用术语,,
key,11,通用术语,,
project,11,通用术语,,
generation,11,通用术语,,
ratio,11,通用术语,,
obvious,11,通用术语,,
minsky,11,通用术语,,
samuel,11,通用术语,,
selected,11,通用术语,,
pick,11,通用术语,,
difficulty,11,通用术语,,
whole,11,通用术语,,
overall,11,通用术语,,
positive,11,通用术语,,
static,11,通用术语,,
occur,11,通用术语,,
robotic,11,通用术语,,
mile,11,通用术语,,
van,11,通用术语,,
camera,11,通用术语,,
nilsson,11,通用术语,,
exercise,11,通用术语,,
summary,11,通用术语,,
maximize,11,通用术语,,
bibliographical,11,通用术语,,
stuck,11,通用术语,,
configuration,11,通用术语,,
designer,11,通用术语,,
preceding,11,通用术语,,
includes,11,通用术语,,
obstacle,11,通用术语,,
competitive,11,通用术语,,
brake,11,通用术语,,
highlighted,11,通用术语,,
fewer,11,通用术语,,
inconsistent,11,通用术语,,
ida,11,通用术语,,
maze,11,通用术语,,
schedule,11,通用术语,,
coloring,11,通用术语,,
matter,10,通用术语,,
building,10,通用术语,,
interesting,10,通用术语,,
said,10,通用术语,,
abstract,10,通用术语,,
engineering,10,通用术语,,
connects,10,通用术语,,
economics,10,通用术语,,
capability,10,通用术语,,
text,10,通用术语,,
day,10,通用术语,,
author,10,通用术语,,
read,10,通用术语,,
century,10,通用术语,,
statement,10,通用术语,,
create,10,通用术语,,
successful,10,通用术语,,
careful,10,通用术语,,
derive,10,通用术语,,
high,10,通用术语,,
limited,10,通用术语,,
designing,10,通用术语,,
consequence,10,通用术语,,
opponent,10,通用术语,,
series,10,通用术语,,
valid,10,通用术语,,
arise,10,通用术语,,
carry,10,通用术语,,
combine,10,通用术语,,
formula,10,通用术语,,
public,10,通用术语,,
wrong,10,通用术语,,
required,10,通用术语,,
began,10,通用术语,,
creating,10,通用术语,,
showing,10,通用术语,,
begin,10,通用术语,,
concern,10,通用术语,,
diagram,10,通用术语,,
detailed,10,通用术语,,
decrease,10,通用术语,,
potential,10,通用术语,,
software,10,通用术语,,
wiener,10,通用术语,,
abstraction,10,通用术语,,
significant,10,通用术语,,
explicit,10,通用术语,,
simplest,10,通用术语,,
hour,10,通用术语,,
predicted,10,通用术语,,
fit,10,通用术语,,
structured,10,通用术语,,
hundred,10,通用术语,,
architecture,10,通用术语,,
pearl,10,通用术语,,
unlabeled,10,通用术语,,
improvement,10,通用术语,,
million,10,通用术语,,
requirement,10,通用术语,,
discus,10,通用术语,,
circuit,10,通用术语,,
arbitrary,10,通用术语,,
lugoj,10,通用术语,,
lowest,10,通用术语,,
assembly,10,通用术语,,
added,10,通用术语,,
earch,10,通用术语,,
expansion,10,通用术语,,
recursive,10,通用术语,,
cutset,10,通用术语,,
tried,9,通用术语,,
generating,9,通用术语,,
impact,9,通用术语,,
speaking,9,通用术语,,
empirical,9,通用术语,,
precise,9,通用术语,,
match,9,通用术语,,
evidence,9,通用术语,,
separate,9,通用术语,,
allowing,9,通用术语,,
period,9,通用术语,,
impossible,9,通用术语,,
perfect,9,通用术语,,
starting,9,通用术语,,
passenger,9,通用术语,,
defining,9,通用术语,,
working,9,通用术语,,
scientist,9,通用术语,,
noted,9,通用术语,,
repeated,9,通用术语,,
final,9,通用术语,,
happen,9,通用术语,,
money,9,通用术语,,
apply,9,通用术语,,
procedure,9,通用术语,,
worked,9,通用术语,,
first-order,9,通用术语,,
assign,9,通用术语,,
updating,9,通用术语,,
proof,9,通用术语,,
basis,9,通用术语,,
improved,9,通用术语,,
framework,9,通用术语,,
sequential,9,通用术语,,
mapping,9,通用术语,,
sensing,9,通用术语,,
rectangular,9,通用术语,,
university,9,通用术语,,
involved,9,通用术语,,
video,9,通用术语,,
likely,9,通用术语,,
forgotten,9,通用术语,,
symbolic,9,通用术语,,
informed,9,通用术语,,
floor,9,通用术语,,
drive,9,通用术语,,
representing,9,通用术语,,
mass,9,通用术语,,
company,9,通用术语,,
score,9,通用术语,,
vast,9,通用术语,,
accuracy,9,通用术语,,
trick,9,通用术语,,
care,9,通用术语,,
explore,9,通用术语,,
arranged,9,通用术语,,
observability,9,通用术语,,
updated,9,通用术语,,
represents,9,通用术语,,
follow,9,通用术语,,
craiova,9,通用术语,,
reaching,9,通用术语,,
esult,9,通用术语,,
vertex,9,通用术语,,
yield,9,通用术语,,
flat,9,通用术语,,
exploring,9,通用术语,,
worst,9,通用术语,,
bounded,9,通用术语,,
straight-line,9,通用术语,,
sld,9,通用术语,,
accurate,9,通用术语,,
weight,9,通用术语,,
satisfies,9,通用术语,,
evolutionary,9,通用术语,,
incremental,9,通用术语,,
map-coloring,9,通用术语,,
rook,9,通用术语,,
min-conflicts,9,通用术语,,
tree-structured,9,通用术语,,
explain,8,通用术语,,
concerned,8,通用术语,,
anything,8,通用术语,,
relevant,8,通用术语,,
focus,8,通用术语,,
store,8,通用术语,,
conclusion,8,通用术语,,
viewed,8,通用术语,,
robotics,8,通用术语,,
discipline,8,通用术语,,
underlying,8,通用术语,,
herbert,8,通用术语,,
gps,8,通用术语,,
experimental,8,通用术语,,
beginning,8,通用术语,,
notation,8,通用术语,,
ordinary,8,通用术语,,
enable,8,通用术语,,
ability,8,通用术语,,
like,8,通用术语,,
remains,8,通用术语,,
specified,8,通用术语,,
applicable,8,通用术语,,
tradeoff,8,通用术语,,
braking,8,通用术语,,
capable,8,通用术语,,
event,8,通用术语,,
published,8,通用术语,,
calculator,8,通用术语,,
suggested,8,通用术语,,
mathematician,8,通用术语,,
today,8,通用术语,,
letter,8,通用术语,,
exists,8,通用术语,,
speed,8,通用术语,,
necessary,8,通用术语,,
attention,8,通用术语,,
included,8,通用术语,,
collection,8,通用术语,,
body,8,通用术语,,
full,8,通用术语,,
operate,8,通用术语,,
comparison,8,通用术语,,
organism,8,通用术语,,
molecule,8,通用术语,,
workshop,8,通用术语,,
presented,8,通用术语,,
side,8,通用术语,,
powerful,8,通用术语,,
hardware,8,通用术语,,
article,8,通用术语,,
easier,8,通用术语,,
carried,8,通用术语,,
feature,8,通用术语,,
contain,8,通用术语,,
derived,8,通用术语,,
running,8,通用术语,,
distributed,8,通用术语,,
obtained,8,通用术语,,
special,8,通用术语,,
street,8,通用术语,,
service,8,通用术语,,
systematic,8,通用术语,,
covered,8,通用术语,,
access,8,通用术语,,
job,8,通用术语,,
higher,8,通用术语,,
inequality,8,通用术语,,
community,8,通用术语,,
sure,8,通用术语,,
depend,8,通用术语,,
code,8,通用术语,,
receives,8,通用术语,,
imagine,8,通用术语,,
distinct,8,通用术语,,
generates,8,通用术语,,
ball,8,通用术语,,
hence,8,通用术语,,
seventh,8,通用术语,,
single-agent,8,通用术语,,
treat,8,通用术语,,
episodic,8,通用术语,,
gent,8,通用术语,,
assuming,8,通用术语,,
reduction,8,通用术语,,
respect,8,通用术语,,
surface,8,通用术语,,
identical,8,通用术语,,
keeping,8,通用术语,,
route-finding,8,通用术语,,
backward,8,通用术语,,
record,8,通用术语,,
visited,8,通用术语,,
smaller,8,通用术语,,
depth-limited,8,通用术语,,
forward,8,通用术语,,
closest,8,通用术语,,
-cost,8,通用术语,,
prime,8,通用术语,,
portion,8,通用术语,,
subtree,8,通用术语,,
label,8,通用术语,,
asterisk,8,通用术语,,
occurs,8,通用术语,,
schema,8,通用术语,,
south,8,通用术语,,
lrta,8,通用术语,,
axle,8,通用术语,,
unary,8,通用术语,,
decide,7,通用术语,,
physic,7,通用术语,,
disease,7,通用术语,,
acting,7,通用术语,,
simulation,7,通用术语,,
define,7,通用术语,,
aristotle,7,通用术语,,
relation,7,通用术语,,
contrast,7,通用术语,,
solvable,7,通用术语,,
hope,7,通用术语,,
foundation,7,通用术语,,
formed,7,通用术语,,
maximizes,7,通用术语,,
social,7,通用术语,,
extent,7,通用术语,,
ask,7,通用术语,,
formulate,7,通用术语,,
discussion,7,通用术语,,
characterized,7,通用术语,,
capture,7,通用术语,,
role,7,通用术语,,
old,7,通用术语,,
characterize,7,通用术语,,
intractable,7,通用术语,,
consisting,7,通用术语,,
suitable,7,通用术语,,
affect,7,通用术语,,
responsible,7,通用术语,,
extend,7,通用术语,,
giving,7,通用术语,,
advance,7,通用术语,,
modified,7,通用术语,,
personal,7,通用术语,,
unlikely,7,通用术语,,
gas,7,通用术语,,
general-purpose,7,通用术语,,
engine,7,通用术语,,
followed,7,通用术语,,
universe,7,通用术语,,
write,7,通用术语,,
automatic,7,通用术语,,
rate,7,通用术语,,
modify,7,通用术语,,
error,7,通用术语,,
calculus,7,通用术语,,
escape,7,通用术语,,
u.s.,7,通用术语,,
illustrated,7,通用术语,,
stanford,7,通用术语,,
report,7,通用术语,,
family,7,通用术语,,
translation,7,通用术语,,
expressive,7,通用术语,,
ten,7,通用术语,,
vector,7,通用术语,,
assumption,7,通用术语,,
putting,7,通用术语,,
misplaced,7,通用术语,,
vacuum-cleaner,7,通用术语,,
restriction,7,通用术语,,
cleaning,7,通用术语,,
piece,7,通用术语,,
geography,7,通用术语,,
truck,7,通用术语,,
evolves,7,通用术语,,
minimizing,7,通用术语,,
curve,7,通用术语,,
determine,7,通用术语,,
dimension,7,通用术语,,
variation,7,通用术语,,
eighth,7,通用术语,,
critic,7,通用术语,,
entry,7,通用术语,,
front,7,通用术语,,
worse,7,通用术语,,
fails,7,通用术语,,
